#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.413339e+00       5.907910e-01       9.659238e-01       1.769478e-02       1.103095e-02       1.454114e-02
          10       2.409457e+00       5.795533e-01       9.652268e-01       2.559746e-02       1.536744e-02       2.081912e-02
          20       2.396746e+00       5.708610e-01       9.615154e-01       1.395900e-02       1.099221e-02       1.244152e-02
          30       2.375255e+00       5.689779e-01       9.533115e-01       2.680847e-02       1.987337e-02       2.307434e-02
          40       2.351259e+00       5.632924e-01       9.438788e-01       2.412206e-02       1.050596e-02       1.590272e-02
          50       2.330036e+00       5.556947e-01       9.350418e-01       3.027849e-02       1.245443e-02       2.197836e-02
          60       2.318332e+00       5.600914e-01       9.293990e-01       2.247065e-02       9.832665e-03       1.507208e-02
          70       2.319825e+00       5.637591e-01       9.286491e-01       2.896069e-02       1.401480e-02       2.387263e-02
          80       2.336923e+00       5.692753e-01       9.361973e-01       1.696932e-02       8.419352e-03       1.317527e-02
          90       2.355361e+00       5.709180e-01       9.459196e-01       2.942897e-02       2.580706e-02       2.812528e-02
         100       2.370937e+00       5.682354e-01       9.549549e-01       5.379848e-02       2.360777e-02       3.261207e-02
         110       2.362470e+00       5.718167e-01       9.478864e-01       3.199476e-02       2.453910e-02       2.697171e-02
         120       2.345725e+00       5.721812e-01       9.388389e-01       1.786205e-02       8.667173e-03       1.468329e-02
         130       2.343461e+00       5.532938e-01       9.427009e-01       3.974153e-02       2.146360e-02       3.027491e-02
         140       2.344600e+00       5.600261e-01       9.460790e-01       6.979160e-02       2.432476e-02       4.562030e-02
         150       2.349798e+00       5.621134e-01       9.451049e-01       3.994681e-02       2.242998e-02       3.187854e-02
         160       2.354905e+00       5.670295e-01       9.424700e-01       1.716203e-02       1.057156e-02       1.511664e-02
         170       2.373446e+00       5.728797e-01       9.515511e-01       2.117878e-02       1.585468e-02       1.849450e-02
         180       2.382762e+00       5.699738e-01       9.602378e-01       7.064232e-02       2.366522e-02       3.682073e-02
         190       2.368237e+00       5.636149e-01       9.518480e-01       2.719261e-02       1.860311e-02       2.376030e-02
         200       2.347717e+00       5.597775e-01       9.415006e-01       1.102893e-02       7.943104e-03       9.307832e-03
         210       2.335915e+00       5.696811e-01       9.359692e-01       1.961709e-02       8.827123e-03       1.460529e-02
         220       2.330588e+00       5.658750e-01       9.343885e-01       2.022610e-02       1.088725e-02       1.488596e-02
         230       2.340158e+00       5.568945e-01       9.400245e-01       2.375292e-02       1.243566e-02       1.887030e-02
         240       2.354932e+00       5.584484e-01       9.462214e-01       1.653796e-02       9.853453e-03       1.440396e-02
         250       2.373023e+00       5.701837e-01       9.516651e-01       2.045962e-02       1.237504e-02       1.732061e-02
         260       2.391418e+00       5.778906e-01       9.581260e-01       1.482333e-02       7.165480e-03       9.980606e-03
