#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.173208e+00       2.764867e-01       4.698040e-01       2.406683e-02       4.318533e-03       1.953624e-02
          10       1.178255e+00       2.785678e-01       4.716934e-01       3.966921e-02       1.738460e-02       3.274991e-02
          20       1.185711e+00       2.769817e-01       4.748255e-01       4.359382e-02       9.236749e-03       3.407333e-02
          30       1.190465e+00       2.729503e-01       4.769692e-01       3.928450e-02       1.712286e-02       3.242682e-02
          40       1.200211e+00       2.758806e-01       4.806429e-01       3.592389e-02       1.309712e-02       2.826731e-02
          50       1.205773e+00       2.763648e-01       4.826993e-01       3.537258e-02       2.283656e-02       3.047985e-02
          60       1.209087e+00       2.928078e-01       4.837834e-01       3.582694e-02       2.113898e-02       3.063548e-02
          70       1.208179e+00       2.952292e-01       4.833123e-01       4.433883e-02       2.265184e-02       3.648462e-02
          80       1.200129e+00       2.570075e-01       4.808782e-01       5.276885e-02       2.092045e-02       4.010354e-02
          90       1.196513e+00       2.556357e-01       4.797430e-01       4.058048e-02       1.584168e-02       3.264471e-02
         100       1.190448e+00       2.657636e-01       4.770196e-01       5.289798e-02       3.408271e-02       4.514224e-02
         110       1.189467e+00       2.675545e-01       4.760016e-01       6.315435e-02       9.372174e-03       4.938004e-02
         120       1.183382e+00       2.798928e-01       4.734923e-01       5.442017e-02       3.270399e-02       4.613382e-02
         130       1.180586e+00       2.538965e-01       4.735657e-01       3.754536e-02       1.415577e-02       2.773227e-02
         140       1.174910e+00       2.524297e-01       4.718056e-01       4.512891e-02       3.273847e-02       3.906382e-02
         150       1.180067e+00       2.717930e-01       4.729897e-01       4.734958e-02       3.081775e-02       4.122841e-02
         160       1.182226e+00       2.746797e-01       4.735460e-01       4.849702e-02       2.428980e-02       3.902504e-02
         170       1.185138e+00       2.719126e-01       4.743234e-01       5.014767e-02       1.756668e-02       4.002387e-02
         180       1.187235e+00       2.770515e-01       4.751677e-01       4.324699e-02       6.089744e-03       3.415798e-02
