# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.01e+02  9.93e+01    6.01e+00  6.02e+00    3.21e+00  3.14e+00    1.0e-03
   1000    4.05e+00  3.62e+00    4.90e-03  5.18e-03    1.65e-01  1.48e-01    6.0e-04
   2000    3.26e+00  2.77e+00    5.73e-03  5.73e-03    1.72e-01  1.46e-01    3.6e-04
   3000    2.50e+00  2.04e+00    5.17e-03  5.20e-03    1.70e-01  1.39e-01    2.1e-04
   4000    1.94e+00  1.67e+00    8.29e-04  9.10e-04    1.70e-01  1.47e-01    1.3e-04
   5000    1.50e+00  1.25e+00    8.26e-04  1.21e-03    1.70e-01  1.41e-01    7.7e-05
   6000    1.16e+00  8.27e-01    1.10e-03  1.48e-03    1.70e-01  1.21e-01    4.6e-05
   7000    9.07e-01  7.72e-01    1.04e-03  1.06e-03    1.70e-01  1.44e-01    2.8e-05
   8000    7.10e-01  5.84e-01    9.59e-04  1.13e-03    1.70e-01  1.40e-01    1.7e-05
   9000    5.60e-01  4.15e-01    8.52e-04  1.00e-03    1.70e-01  1.26e-01    9.9e-06
  10000    4.46e-01  4.12e-01    9.60e-04  5.94e-04    1.70e-01  1.57e-01    5.9e-06
  11000    3.62e-01  2.71e-01    9.92e-04  7.72e-04    1.70e-01  1.27e-01    3.5e-06
  12000    3.00e-01  2.24e-01    9.24e-04  7.69e-04    1.70e-01  1.27e-01    2.1e-06
  13000    2.56e-01  1.79e-01    8.80e-04  1.23e-03    1.70e-01  1.19e-01    1.3e-06
  14000    2.25e-01  2.25e-01    8.68e-04  7.04e-04    1.70e-01  1.70e-01    7.6e-07
  15000    2.05e-01  1.77e-01    8.66e-04  3.75e-04    1.70e-01  1.47e-01    4.6e-07
  16000    1.91e-01  2.11e-01    8.50e-04  5.77e-03    1.70e-01  1.86e-01    2.7e-07
  17000    1.83e-01  1.53e-01    8.36e-04  6.60e-04    1.70e-01  1.42e-01    1.6e-07
  18000    1.78e-01  1.50e-01    8.25e-04  8.83e-04    1.70e-01  1.43e-01    9.8e-08
  19000    1.75e-01  1.31e-01    8.17e-04  8.50e-04    1.70e-01  1.27e-01    5.9e-08
  20000    1.73e-01  1.54e-01    8.12e-04  8.41e-04    1.70e-01  1.51e-01    3.5e-08
