#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.354418e+00       5.822984e-01       9.420716e-01       5.928666e-03       2.087257e-03       4.643057e-03
          10       2.359365e+00       5.798787e-01       9.441677e-01       2.607303e-02       3.754190e-03       2.090140e-02
          20       2.366740e+00       5.763103e-01       9.479246e-01       1.029168e-02       6.438327e-03       8.631650e-03
          30       2.370936e+00       5.762563e-01       9.497263e-01       2.713161e-02       1.315636e-02       2.388095e-02
          40       2.374967e+00       5.765843e-01       9.520400e-01       1.630210e-02       5.760856e-03       1.087361e-02
          50       2.372458e+00       5.722118e-01       9.508097e-01       2.798392e-02       1.882233e-02       2.539220e-02
          60       2.367509e+00       5.769475e-01       9.485473e-01       1.069127e-02       6.682640e-03       9.195855e-03
          70       2.359435e+00       5.750714e-01       9.445694e-01       2.884401e-02       7.697809e-03       2.361854e-02
          80       2.351350e+00       5.724304e-01       9.413263e-01       7.535451e-03       5.509519e-03       6.676760e-03
          90       2.340303e+00       5.704651e-01       9.364501e-01       3.072148e-02       1.428573e-02       2.626923e-02
         100       2.338283e+00       5.627237e-01       9.370512e-01       1.934256e-02       9.835614e-03       1.234855e-02
         110       2.344972e+00       5.602199e-01       9.401621e-01       2.741665e-02       1.428036e-02       2.399126e-02
         120       2.352628e+00       5.688685e-01       9.431980e-01       1.913478e-02       9.643344e-03       1.474262e-02
         130       2.365817e+00       5.699355e-01       9.484201e-01       2.863815e-02       1.199075e-02       2.473089e-02
         140       2.376766e+00       5.699159e-01       9.534309e-01       1.923110e-02       1.015504e-02       1.508104e-02
         150       2.384384e+00       5.737270e-01       9.552962e-01       2.158764e-02       1.348120e-02       1.951279e-02
         160       2.381214e+00       5.791118e-01       9.531163e-01       2.447828e-02       1.022551e-02       1.595488e-02
         170       2.378847e+00       5.893770e-01       9.517737e-01       1.758323e-02       3.775943e-03       1.470533e-02
         180       2.370413e+00       5.793481e-01       9.484144e-01       1.553040e-02       6.477313e-03       1.307649e-02
         190       2.362415e+00       5.859971e-01       9.450851e-01       1.590286e-02       1.104862e-03       1.274341e-02
         200       2.352691e+00       5.794026e-01       9.413418e-01       1.664139e-02       5.930410e-03       1.417509e-02
         210       2.347687e+00       5.715973e-01       9.398671e-01       1.569697e-02       7.213093e-03       1.316078e-02
         220       2.344707e+00       5.698277e-01       9.390156e-01       1.783230e-02       7.586786e-03       1.468569e-02
         230       2.345159e+00       5.757726e-01       9.391014e-01       1.624413e-02       8.262637e-03       1.322679e-02
         240       2.349817e+00       5.734357e-01       9.412036e-01       1.891967e-02       1.094942e-02       1.673175e-02
         250       2.358178e+00       5.705629e-01       9.453248e-01       1.773443e-02       9.655312e-03       1.422222e-02
         260       2.366421e+00       5.766164e-01       9.483367e-01       1.793880e-02       1.222414e-02       1.652831e-02
         270       2.372116e+00       5.814946e-01       9.498987e-01       2.278981e-02       5.877521e-03       1.462092e-02
         280       2.379519e+00       5.813597e-01       9.527347e-01       2.052523e-02       6.115931e-03       1.634121e-02
         290       2.377998e+00       5.761580e-01       9.520169e-01       1.525611e-02       7.926183e-03       1.250084e-02
         300       2.372249e+00       5.830664e-01       9.492102e-01       1.888240e-02       5.861449e-03       1.512594e-02
         310       2.365100e+00       5.643158e-01       9.471893e-01       1.385337e-02       1.112457e-02       1.241665e-02
         320       2.359525e+00       5.696162e-01       9.450810e-01       2.030275e-02       6.702953e-03       1.572907e-02
         330       2.350570e+00       5.731555e-01       9.418955e-01       2.856625e-02       1.050356e-02       1.905246e-02
         340       2.349190e+00       5.610378e-01       9.426208e-01       2.086813e-02       1.040835e-02       1.678263e-02
         350       2.353492e+00       5.577279e-01       9.442584e-01       2.287149e-02       1.258735e-02       1.815310e-02
