#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.343055e+00       5.802112e-01       9.375566e-01       1.002190e-02       4.220033e-03       8.249514e-03
          10       2.333246e+00       5.699715e-01       9.339869e-01       1.682800e-02       1.203496e-02       1.473270e-02
          20       2.330889e+00       5.744929e-01       9.332332e-01       1.573224e-02       9.116256e-03       1.128492e-02
          30       2.333576e+00       5.681373e-01       9.346219e-01       1.628394e-02       1.350073e-02       1.424275e-02
          40       2.344437e+00       5.711992e-01       9.397481e-01       1.856964e-02       9.206571e-03       1.213157e-02
          50       2.357187e+00       5.701609e-01       9.451454e-01       1.962840e-02       1.643169e-02       1.754472e-02
          60       2.369190e+00       5.813011e-01       9.494079e-01       1.744681e-02       8.127262e-03       1.414916e-02
          70       2.380911e+00       5.811579e-01       9.538109e-01       1.835908e-02       8.562075e-03       1.586940e-02
          80       2.384655e+00       5.809508e-01       9.548638e-01       1.571624e-02       1.151576e-02       1.366181e-02
          90       2.379441e+00       5.882969e-01       9.518712e-01       1.837777e-02       3.543343e-03       1.505183e-02
         100       2.370848e+00       5.655048e-01       9.497896e-01       1.422386e-02       7.660524e-03       1.196717e-02
         110       2.364663e+00       5.633392e-01       9.487396e-01       2.198790e-02       9.396924e-03       1.795593e-02
         120       2.356037e+00       5.629741e-01       9.466302e-01       4.116577e-02       1.157733e-02       2.436891e-02
         130       2.358590e+00       5.602952e-01       9.477512e-01       3.732566e-02       1.850689e-02       2.365295e-02
         140       2.362984e+00       5.679616e-01       9.475493e-01       1.663122e-02       6.422272e-03       1.230016e-02
         150       2.375529e+00       5.807289e-01       9.506316e-01       1.510952e-02       5.161984e-03       1.295214e-02
         160       2.378682e+00       5.885772e-01       9.515874e-01       9.978902e-03       6.875678e-03       8.248388e-03
         170       2.380682e+00       5.808383e-01       9.530259e-01       1.356826e-02       7.935881e-03       1.161884e-02
         180       2.376479e+00       5.694306e-01       9.524141e-01       1.820958e-02       5.800565e-03       1.075581e-02
         190       2.368524e+00       5.799648e-01       9.489829e-01       1.481928e-02       1.214580e-02       1.358444e-02
         200       2.356754e+00       5.813062e-01       9.441496e-01       1.575654e-02       1.045213e-02       1.182376e-02
         210       2.347917e+00       5.685699e-01       9.411061e-01       1.803165e-02       1.240019e-02       1.382420e-02
         220       2.339892e+00       5.655696e-01       9.377656e-01       1.755780e-02       7.930050e-03       1.229247e-02
         230       2.336345e+00       5.746868e-01       9.354219e-01       1.787051e-02       1.139703e-02       1.367743e-02
         240       2.339589e+00       5.790017e-01       9.363612e-01       1.509994e-02       7.652784e-03       1.161533e-02
         250       2.347105e+00       5.791908e-01       9.392531e-01       1.594890e-02       4.744633e-03       1.294284e-02
         260       2.357367e+00       5.819489e-01       9.430896e-01       1.454264e-02       3.307252e-03       1.205473e-02
         270       2.369900e+00       5.866769e-01       9.480522e-01       1.612923e-02       4.610955e-03       1.352356e-02
         280       2.381861e+00       5.842374e-01       9.531751e-01       1.515512e-02       4.988127e-03       1.272623e-02
         290       2.389289e+00       5.825358e-01       9.568070e-01       2.052931e-02       1.450077e-02       1.800730e-02
