# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.05e+02  1.03e+02    5.94e+00  5.95e+00    3.33e+00  3.26e+00    1.0e-03
   1000    4.48e+00  3.67e+00    2.65e-02  2.67e-02    1.83e-01  1.50e-01    6.0e-04
   2000    3.41e+00  2.91e+00    4.26e-02  4.31e-02    1.80e-01  1.54e-01    3.6e-04
   3000    2.54e+00  1.86e+00    3.16e-02  3.16e-02    1.73e-01  1.27e-01    2.1e-04
   4000    2.02e+00  1.80e+00    3.76e-02  3.75e-02    1.77e-01  1.58e-01    1.3e-04
   5000    1.54e+00  9.81e-01    8.19e-03  8.27e-03    1.74e-01  1.11e-01    7.7e-05
   6000    1.19e+00  9.11e-01    4.04e-03  4.29e-03    1.73e-01  1.33e-01    4.6e-05
   7000    9.38e-01  5.47e-01    4.31e-03  4.32e-03    1.76e-01  1.02e-01    2.8e-05
   8000    7.31e-01  4.30e-01    2.49e-03  2.30e-03    1.75e-01  1.03e-01    1.7e-05
   9000    5.73e-01  4.19e-01    2.15e-03  2.13e-03    1.74e-01  1.27e-01    9.9e-06
  10000    4.59e-01  3.50e-01    1.04e-03  1.07e-03    1.74e-01  1.33e-01    5.9e-06
  11000    3.73e-01  3.04e-01    9.38e-04  8.22e-04    1.75e-01  1.43e-01    3.5e-06
  12000    3.08e-01  1.77e-01    8.82e-04  8.07e-04    1.74e-01  9.99e-02    2.1e-06
  13000    2.62e-01  1.64e-01    1.31e-03  1.66e-03    1.74e-01  1.09e-01    1.3e-06
  14000    2.32e-01  1.52e-01    9.28e-04  1.35e-03    1.74e-01  1.15e-01    7.6e-07
  15000    2.10e-01  1.38e-01    8.92e-04  1.32e-03    1.74e-01  1.15e-01    4.6e-07
  16000    1.80e-01  1.58e-01    3.99e-03  3.65e-03    1.59e-01  1.40e-01    2.7e-07
  17000    1.88e-01  1.29e-01    8.78e-04  1.05e-03    1.74e-01  1.20e-01    1.6e-07
  18000    1.83e-01  1.57e-01    8.80e-04  6.67e-04    1.74e-01  1.50e-01    9.8e-08
  19000    1.79e-01  1.31e-01    8.79e-04  1.02e-03    1.74e-01  1.27e-01    5.9e-08
  20000    1.78e-01  1.54e-01    8.85e-04  9.50e-04    1.74e-01  1.51e-01    3.5e-08
