# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    9.09e+01  8.89e+01    5.74e+00  5.75e+00    2.87e+00  2.81e+00    1.0e-03
   1000    4.33e+00  3.58e+00    1.99e-02  1.92e-02    1.77e-01  1.46e-01    6.0e-04
   2000    3.39e+00  2.14e+00    2.12e-02  2.12e-02    1.79e-01  1.13e-01    3.6e-04
   3000    2.64e+00  2.29e+00    1.34e-02  1.35e-02    1.80e-01  1.56e-01    2.1e-04
   4000    2.00e+00  1.76e+00    1.17e-02  1.20e-02    1.76e-01  1.54e-01    1.3e-04
   5000    1.56e+00  1.37e+00    1.93e-02  1.95e-02    1.76e-01  1.55e-01    7.7e-05
   6000    1.22e+00  1.05e+00    3.28e-03  3.63e-03    1.77e-01  1.53e-01    4.6e-05
   7000    9.42e-01  9.48e-01    5.95e-03  6.70e-03    1.76e-01  1.77e-01    2.8e-05
   8000    7.34e-01  4.98e-01    2.82e-03  3.35e-03    1.76e-01  1.19e-01    1.7e-05
   9000    5.79e-01  4.41e-01    1.94e-03  2.12e-03    1.76e-01  1.34e-01    9.9e-06
  10000    4.63e-01  4.12e-01    2.29e-03  2.38e-03    1.76e-01  1.57e-01    5.9e-06
  11000    3.90e-01  3.84e-01    4.36e-03  4.82e-03    1.83e-01  1.80e-01    3.5e-06
  12000    3.11e-01  1.86e-01    1.12e-03  9.90e-04    1.76e-01  1.05e-01    2.1e-06
  13000    2.65e-01  2.03e-01    8.88e-04  8.51e-04    1.76e-01  1.35e-01    1.3e-06
  14000    2.33e-01  2.36e-01    9.81e-04  5.60e-03    1.76e-01  1.77e-01    7.6e-07
  15000    1.37e-01  1.29e-01    1.75e-03  2.65e-03    1.14e-01  1.06e-01    4.6e-07
  16000    1.98e-01  1.50e-01    8.91e-04  8.67e-04    1.75e-01  1.33e-01    2.7e-07
  17000    1.90e-01  1.81e-01    8.45e-04  6.83e-04    1.76e-01  1.68e-01    1.6e-07
  18000    1.84e-01  1.53e-01    8.41e-04  6.47e-04    1.76e-01  1.46e-01    9.8e-08
  19000    1.88e-01  1.82e-01    4.94e-03  5.76e-03    1.82e-01  1.76e-01    5.9e-08
  20000    1.79e-01  1.71e-01    8.40e-04  5.79e-04    1.76e-01  1.68e-01    3.5e-08
