# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.27e+02  1.23e+02    5.44e+00  5.46e+00    4.01e+00  3.88e+00    1.0e-03
   1000    4.00e+00  4.24e+00    2.26e-02  2.17e-02    1.63e-01  1.73e-01    6.0e-04
   2000    3.36e+00  2.38e+00    3.18e-02  3.14e-02    1.77e-01  1.25e-01    3.6e-04
   3000    2.63e+00  1.81e+00    2.39e-02  2.40e-02    1.79e-01  1.24e-01    2.1e-04
   4000    1.99e+00  1.92e+00    3.37e-02  3.34e-02    1.75e-01  1.68e-01    1.3e-04
   5000    1.54e+00  9.83e-01    9.23e-04  9.54e-04    1.75e-01  1.11e-01    7.7e-05
   6000    1.21e+00  9.24e-01    7.94e-03  7.40e-03    1.76e-01  1.35e-01    4.6e-05
   7000    9.09e-01  8.84e-01    1.16e-02  1.15e-02    1.70e-01  1.65e-01    2.8e-05
   8000    7.32e-01  5.55e-01    4.66e-03  4.64e-03    1.75e-01  1.33e-01    1.7e-05
   9000    5.79e-01  3.67e-01    3.22e-03  3.16e-03    1.76e-01  1.11e-01    9.9e-06
  10000    4.61e-01  2.85e-01    2.55e-03  2.72e-03    1.75e-01  1.08e-01    5.9e-06
  11000    3.74e-01  3.10e-01    1.06e-03  8.98e-04    1.75e-01  1.45e-01    3.5e-06
  12000    3.10e-01  2.65e-01    9.88e-04  1.19e-03    1.76e-01  1.50e-01    2.1e-06
  13000    2.65e-01  2.52e-01    8.93e-04  6.59e-04    1.76e-01  1.67e-01    1.3e-06
  14000    2.21e-01  1.97e-01    3.99e-03  3.78e-03    1.66e-01  1.48e-01    7.6e-07
  15000    2.12e-01  1.85e-01    1.07e-03  6.25e-04    1.75e-01  1.53e-01    4.6e-07
  16000    1.98e-01  1.12e-01    8.81e-04  8.06e-04    1.75e-01  9.90e-02    2.7e-07
  17000    1.89e-01  1.70e-01    9.53e-04  6.04e-04    1.75e-01  1.57e-01    1.6e-07
  18000    1.84e-01  1.49e-01    9.32e-04  8.44e-04    1.75e-01  1.42e-01    9.8e-08
  19000    1.80e-01  1.85e-01    9.65e-04  5.88e-03    1.75e-01  1.78e-01    5.9e-08
  20000    1.78e-01  1.47e-01    8.85e-04  6.61e-04    1.75e-01  1.45e-01    3.5e-08
