# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    6.48e+01  6.29e+01    6.58e+00  6.59e+00    2.05e+00  1.99e+00    1.0e-03
   1000    4.65e+00  3.21e+00    7.16e-02  7.24e-02    1.90e-01  1.31e-01    6.0e-04
   2000    3.37e+00  2.26e+00    6.89e-02  6.86e-02    1.78e-01  1.19e-01    3.6e-04
   3000    2.67e+00  2.54e+00    6.14e-02  5.97e-02    1.81e-01  1.73e-01    2.1e-04
   4000    2.02e+00  1.18e+00    2.35e-03  2.74e-03    1.77e-01  1.03e-01    1.3e-04
   5000    1.61e+00  1.04e+00    2.17e-02  2.11e-02    1.83e-01  1.18e-01    7.7e-05
   6000    1.22e+00  7.86e-01    2.56e-03  2.68e-03    1.77e-01  1.15e-01    4.6e-05
   7000    6.09e-01  6.48e-01    2.03e-03  3.09e-03    1.14e-01  1.21e-01    2.8e-05
   8000    4.91e-01  5.26e-01    2.81e-03  3.67e-03    1.17e-01  1.26e-01    1.7e-05
   9000    5.86e-01  3.88e-01    1.94e-03  1.62e-03    1.78e-01  1.17e-01    9.9e-06
  10000    4.66e-01  4.05e-01    2.44e-03  2.63e-03    1.77e-01  1.54e-01    5.9e-06
  11000    3.82e-01  2.28e-01    1.06e-03  1.02e-03    1.79e-01  1.07e-01    3.5e-06
  12000    1.97e-01  1.67e-01    2.49e-03  1.97e-03    1.12e-01  9.42e-02    2.1e-06
  13000    2.68e-01  1.44e-01    1.82e-03  1.65e-03    1.78e-01  9.55e-02    1.3e-06
  14000    2.36e-01  1.42e-01    1.09e-03  9.21e-04    1.78e-01  1.07e-01    7.6e-07
  15000    2.15e-01  1.71e-01    1.12e-03  8.77e-04    1.78e-01  1.41e-01    4.6e-07
  16000    8.54e-02  9.81e-02    2.81e-03  1.46e-03    7.53e-02  8.68e-02    2.7e-07
  17000    1.93e-01  1.41e-01    1.01e-03  7.62e-04    1.79e-01  1.31e-01    1.6e-07
  18000    1.87e-01  1.68e-01    1.12e-03  8.45e-04    1.79e-01  1.60e-01    9.8e-08
  19000    1.84e-01  1.59e-01    1.14e-03  8.64e-04    1.79e-01  1.55e-01    5.9e-08
  20000    1.82e-01  1.01e-01    1.09e-03  8.04e-04    1.79e-01  9.97e-02    3.5e-08
