#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.362330e+00       5.745833e-01       9.467194e-01       1.372557e-02       3.868449e-03       1.007911e-02
          10       2.345714e+00       5.749443e-01       9.396854e-01       3.011593e-02       1.044705e-02       2.132552e-02
          20       2.338021e+00       5.558207e-01       9.374103e-01       9.473338e-03       5.689015e-03       8.048531e-03
          30       2.333053e+00       5.546224e-01       9.350571e-01       2.094123e-02       1.484884e-02       1.871331e-02
          40       2.339178e+00       5.806095e-01       9.361152e-01       1.631043e-02       5.245483e-03       1.032706e-02
          50       2.351254e+00       5.786045e-01       9.408638e-01       1.550638e-02       8.844191e-03       1.325431e-02
          60       2.363998e+00       5.734599e-01       9.469638e-01       1.973825e-02       8.794294e-03       1.314319e-02
          70       2.378183e+00       5.636586e-01       9.543083e-01       2.049568e-02       1.017133e-02       1.316154e-02
          80       2.387613e+00       5.685180e-01       9.598768e-01       4.974922e-02       1.678523e-02       2.963777e-02
          90       2.385800e+00       5.770594e-01       9.578880e-01       2.832008e-02       8.493891e-03       1.941739e-02
         100       2.366974e+00       5.695702e-01       9.488242e-01       4.432269e-02       1.701130e-02       2.851153e-02
         110       2.354920e+00       5.656910e-01       9.435344e-01       6.753898e-03       5.405152e-03       5.942777e-03
         120       2.325969e+00       5.691045e-01       9.308487e-01       4.319700e-02       2.288152e-02       3.366996e-02
         130       2.324083e+00       5.514415e-01       9.337238e-01       2.196187e-02       1.073414e-02       1.696601e-02
         140       2.331823e+00       5.461978e-01       9.378751e-01       4.747405e-02       2.710207e-02       4.172528e-02
         150       2.348275e+00       5.693230e-01       9.418515e-01       2.272968e-02       1.039838e-02       1.650889e-02
         160       2.372283e+00       5.773164e-01       9.501669e-01       3.687131e-02       1.847952e-02       3.191832e-02
         170       2.386344e+00       5.647325e-01       9.570441e-01       2.135536e-02       1.176213e-02       1.555510e-02
         180       2.393254e+00       5.727162e-01       9.595489e-01       3.403386e-02       8.405562e-03       2.653766e-02
         190       2.385017e+00       5.720222e-01       9.567430e-01       2.718649e-02       9.727289e-03       1.665480e-02
         200       2.374166e+00       5.737306e-01       9.516570e-01       3.053110e-02       1.717891e-02       2.614276e-02
         210       2.355981e+00       5.612969e-01       9.444203e-01       1.749058e-02       1.140178e-02       1.540449e-02
         220       2.340911e+00       5.703367e-01       9.371571e-01       2.797795e-02       1.063079e-02       2.288005e-02
         230       2.327529e+00       5.711458e-01       9.312869e-01       2.235210e-02       1.372348e-02       1.683552e-02
         240       2.325877e+00       5.700210e-01       9.304097e-01       2.893836e-02       1.324718e-02       2.376422e-02
         250       2.330008e+00       5.737744e-01       9.322861e-01       1.898936e-02       1.398538e-02       1.546283e-02
         260       2.340844e+00       5.795723e-01       9.366643e-01       2.518784e-02       1.156968e-02       2.002193e-02
         270       2.358531e+00       5.717580e-01       9.453616e-01       1.695377e-02       8.244706e-03       1.390109e-02
         280       2.374240e+00       5.682766e-01       9.526649e-01       2.126656e-02       1.944080e-02       2.017912e-02
         290       2.384420e+00       5.795560e-01       9.563603e-01       3.767566e-02       9.955080e-03       2.044657e-02
         300       2.385717e+00       5.769292e-01       9.566475e-01       3.230850e-02       1.599824e-02       2.248190e-02
         310       2.379812e+00       5.685297e-01       9.540249e-01       1.739688e-02       1.212055e-02       1.476221e-02
         320       2.361054e+00       5.714525e-01       9.460561e-01       1.712539e-02       1.314574e-02       1.502638e-02
         330       2.346170e+00       5.611122e-01       9.401496e-01       2.259184e-02       1.421270e-02       1.950166e-02
         340       2.335172e+00       5.619475e-01       9.365353e-01       2.618131e-02       1.214698e-02       1.668136e-02
         350       2.331495e+00       5.650304e-01       9.354379e-01       3.848016e-02       1.730199e-02       2.503469e-02
         360       2.334792e+00       5.605642e-01       9.364598e-01       1.819559e-02       9.290484e-03       1.316102e-02
         370       2.351806e+00       5.587154e-01       9.427420e-01       2.650748e-02       1.987263e-02       2.328798e-02
         380       2.371931e+00       5.775988e-01       9.500427e-01       8.715589e-03       5.598185e-03       7.604424e-03
         390       2.387975e+00       5.870806e-01       9.557478e-01       3.399041e-02       1.879409e-02       2.709761e-02
         400       2.399248e+00       5.763192e-01       9.624560e-01       3.199236e-02       7.054562e-03       1.765066e-02
         410       2.398263e+00       5.630765e-01       9.631260e-01       3.860459e-02       2.017125e-02       3.105978e-02
         420       2.384121e+00       5.699040e-01       9.569288e-01       2.263375e-02       7.914267e-03       1.512180e-02
         430       2.364429e+00       5.723469e-01       9.473125e-01       3.846291e-02       1.500610e-02       3.231808e-02
         440       2.346748e+00       5.650421e-01       9.401913e-01       1.229008e-02       5.130994e-03       8.343299e-03
         450       2.333586e+00       5.675266e-01       9.336547e-01       3.433295e-02       1.358487e-02       2.829178e-02
         460       2.328934e+00       5.760855e-01       9.318302e-01       1.317008e-02       4.327170e-03       8.012612e-03
         470       2.333387e+00       5.730226e-01       9.334427e-01       3.448717e-02       9.835047e-03       2.896642e-02
         480       2.342206e+00       5.751458e-01       9.377342e-01       1.017629e-02       5.993076e-03       8.772692e-03
         490       2.354962e+00       5.703856e-01       9.430309e-01       2.936820e-02       1.062451e-02       2.485242e-02
         500       2.368907e+00       5.722464e-01       9.498835e-01       1.783198e-02       7.639076e-03       1.193041e-02
         510       2.378229e+00       5.769198e-01       9.532935e-01       3.263618e-02       1.466428e-02       2.861498e-02
         520       2.382814e+00       5.801638e-01       9.552025e-01       1.621097e-02       9.756654e-03       1.344769e-02
         530       2.380930e+00       5.775090e-01       9.536269e-01       2.986184e-02       1.712025e-02       2.622763e-02
         540       2.371885e+00       5.790025e-01       9.494383e-01       1.036718e-02       3.543696e-03       8.526252e-03
         550       2.358533e+00       5.774265e-01       9.434498e-01       3.186585e-02       6.156696e-03       2.643545e-02
         560       2.348553e+00       5.711273e-01       9.400783e-01       1.403655e-02       7.427381e-03       1.248960e-02
         570       2.338452e+00       5.707268e-01       9.361138e-01       3.701222e-02       9.158871e-03       2.771768e-02
         580       2.339304e+00       5.584974e-01       9.385955e-01       2.061578e-02       7.517442e-03       1.468698e-02
         590       2.346460e+00       5.520335e-01       9.422304e-01       3.653713e-02       1.643082e-02       3.007774e-02
         600       2.363455e+00       5.687483e-01       9.476377e-01       2.100590e-02       1.022502e-02       1.690440e-02
         610       2.383548e+00       5.841015e-01       9.539673e-01       3.028973e-02       1.329368e-02       2.542436e-02
         620       2.398866e+00       5.877243e-01       9.598940e-01       2.007392e-02       1.344831e-02       1.594075e-02
         630       2.403964e+00       5.889312e-01       9.621047e-01       3.508767e-02       2.078248e-02       2.846225e-02
         640       2.400325e+00       5.666621e-01       9.630371e-01       2.575085e-02       1.340996e-02       1.983331e-02
         650       2.386522e+00       5.704315e-01       9.571712e-01       2.465805e-02       2.227258e-02       2.350182e-02
         660       2.355674e+00       5.759609e-01       9.438290e-01       2.732636e-02       1.350649e-02       2.035451e-02
         670       2.338036e+00       5.653569e-01       9.368245e-01       2.593524e-02       1.470720e-02       2.308247e-02
         680       2.314530e+00       5.517200e-01       9.278041e-01       3.205855e-02       1.803717e-02       2.591926e-02
         690       2.307981e+00       5.701516e-01       9.236279e-01       2.728405e-02       7.482621e-03       2.039093e-02
         700       2.312446e+00       5.589739e-01       9.253482e-01       2.908096e-02       2.078696e-02       2.536433e-02
         710       2.333848e+00       5.744846e-01       9.339395e-01       2.444553e-02       8.646683e-03       1.883082e-02
         720       2.350443e+00       5.759844e-01       9.409355e-01       2.829409e-02       1.496745e-02       2.301265e-02
         730       2.374086e+00       5.760531e-01       9.524679e-01       3.113630e-02       1.824343e-02       2.281614e-02
         740       2.384569e+00       5.722848e-01       9.567784e-01       3.998777e-02       2.698314e-02       3.125221e-02
         750       2.382967e+00       5.871144e-01       9.542020e-01       3.088300e-02       5.591916e-03       1.950438e-02
         760       2.377368e+00       5.846373e-01       9.510706e-01       2.603320e-02       5.930187e-03       2.087295e-02
         770       2.363486e+00       5.792813e-01       9.456428e-01       2.045187e-02       1.013630e-02       1.730536e-02
         780       2.351723e+00       5.683576e-01       9.419784e-01       2.894341e-02       1.022521e-02       2.456087e-02
         790       2.346439e+00       5.543675e-01       9.418143e-01       2.416739e-02       8.523350e-03       1.992862e-02
         800       2.347963e+00       5.619696e-01       9.420465e-01       2.942886e-02       9.269745e-03       2.259530e-02
         810       2.353983e+00       5.709972e-01       9.436420e-01       2.969956e-02       8.488128e-03       2.029065e-02
         820       2.366335e+00       5.657986e-01       9.483670e-01       2.535733e-02       1.385654e-02       2.216048e-02
         830       2.376601e+00       5.698946e-01       9.518525e-01       2.292553e-02       6.653649e-03       1.902447e-02
         840       2.384657e+00       5.823227e-01       9.541645e-01       2.015303e-02       5.801556e-03       1.647804e-02
         850       2.389639e+00       5.876114e-01       9.559860e-01       1.993492e-02       4.558711e-03       1.610399e-02
         860       2.386239e+00       5.940138e-01       9.546658e-01       2.211308e-02       6.521813e-03       1.682797e-02
         870       2.377971e+00       5.837278e-01       9.517300e-01       2.227084e-02       7.399936e-03       1.887367e-02
         880       2.365855e+00       5.747363e-01       9.477764e-01       1.810001e-02       1.315584e-02       1.621283e-02
         890       2.352490e+00       5.698753e-01       9.424402e-01       2.133913e-02       1.483450e-02       1.929306e-02
         900       2.338632e+00       5.734742e-01       9.367010e-01       2.109704e-02       1.475206e-02       1.818973e-02
         910       2.330735e+00       5.718346e-01       9.339358e-01       3.095398e-02       1.503452e-02       2.312512e-02
