#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.171459e+00       2.728569e-01       4.691425e-01       2.445765e-02       7.277119e-03       2.032685e-02
          10       1.175031e+00       2.630740e-01       4.708288e-01       3.356102e-02       1.930050e-02       2.804873e-02
          20       1.182421e+00       2.604771e-01       4.739013e-01       4.144712e-02       2.415011e-02       3.344722e-02
          30       1.191802e+00       2.600976e-01       4.776419e-01       3.688819e-02       6.568903e-03       2.816582e-02
          40       1.203631e+00       2.751968e-01       4.820415e-01       2.774060e-02       1.170341e-02       2.349840e-02
          50       1.214923e+00       2.811606e-01       4.863894e-01       2.852155e-02       1.555907e-02       2.356869e-02
          60       1.222691e+00       2.775997e-01       4.894849e-01       3.749292e-02       2.236769e-02       3.070997e-02
          70       1.224045e+00       2.671780e-01       4.902243e-01       4.562002e-02       2.059265e-02       3.670992e-02
          80       1.218435e+00       2.573625e-01       4.884023e-01       4.499051e-02       1.665275e-02       3.620874e-02
          90       1.208570e+00       2.607006e-01       4.845464e-01       3.683551e-02       1.886391e-02       3.099251e-02
         100       1.194751e+00       2.768472e-01       4.785488e-01       3.365136e-02       1.095456e-02       2.702844e-02
         110       1.176512e+00       2.806264e-01       4.707634e-01       4.167253e-02       3.839677e-03       3.365761e-02
         120       1.156520e+00       2.780947e-01       4.626848e-01       5.014043e-02       2.494633e-02       4.288553e-02
         130       1.141666e+00       2.603401e-01       4.586109e-01       8.273883e-02       4.380893e-02       5.784301e-02
         140       1.141580e+00       2.600466e-01       4.586383e-01       7.555508e-02       3.971687e-02       5.663713e-02
         150       1.154500e+00       2.755756e-01       4.627962e-01       4.150858e-02       3.167328e-02       3.705635e-02
         160       1.174297e+00       2.716518e-01       4.703410e-01       3.592637e-02       9.917781e-03       3.008859e-02
         170       1.193224e+00       2.760287e-01       4.777313e-01       4.594882e-02       8.550335e-03       3.483756e-02
         180       1.207997e+00       2.717059e-01       4.837759e-01       3.957251e-02       1.155696e-02       3.193805e-02
         190       1.216803e+00       2.668639e-01       4.874835e-01       3.311074e-02       1.598278e-02       2.622117e-02
         200       1.222258e+00       2.752095e-01       4.895087e-01       3.020642e-02       1.565144e-02       2.438376e-02
         210       1.221827e+00       2.879748e-01       4.890969e-01       3.088371e-02       2.061089e-02       2.697425e-02
         220       1.215378e+00       2.869308e-01       4.864060e-01       3.182086e-02       1.231845e-02       2.721010e-02
         230       1.204429e+00       2.922859e-01       4.820535e-01       3.128625e-02       1.217247e-02       2.585445e-02
         240       1.191380e+00       2.790778e-01       4.770460e-01       2.555534e-02       6.185369e-03       2.134657e-02
         250       1.177776e+00       2.676857e-01       4.720365e-01       2.947764e-02       1.307317e-02       2.273446e-02
         260       1.166866e+00       2.591803e-01       4.679543e-01       4.443915e-02       2.985307e-02       3.621269e-02
         270       1.161912e+00       2.631655e-01       4.656921e-01       4.698607e-02       2.314502e-02       3.727744e-02
         280       1.162366e+00       2.751334e-01       4.655743e-01       3.676215e-02       1.005706e-02       2.948762e-02
         290       1.168376e+00       2.716363e-01       4.680539e-01       2.851999e-02       8.203350e-03       2.266526e-02
         300       1.177245e+00       2.707096e-01       4.717961e-01       3.211370e-02       1.523474e-02       2.652974e-02
         310       1.185752e+00       2.577786e-01       4.757713e-01       3.894899e-02       2.294753e-02       3.389425e-02
         320       1.195344e+00       2.586888e-01       4.794846e-01       4.432648e-02       1.996445e-02       3.661761e-02
         330       1.208468e+00       2.784411e-01       4.839039e-01       4.065967e-02       1.089456e-02       3.183318e-02
         340       1.216727e+00       2.927907e-01       4.869381e-01       3.010492e-02       1.281783e-02       2.495696e-02
         350       1.217440e+00       2.891045e-01       4.872625e-01       3.743133e-02       1.747064e-02       3.155268e-02
         360       1.211084e+00       2.638626e-01       4.853975e-01       4.952868e-02       1.548967e-02       4.006435e-02
         370       1.200264e+00       2.443194e-01       4.824026e-01       5.793239e-02       2.760652e-02       4.430901e-02
         380       1.195880e+00       2.516357e-01       4.800678e-01       4.529298e-02       2.610529e-02       3.839783e-02
         390       1.192146e+00       2.821817e-01       4.774172e-01       2.865312e-02       8.561890e-03       2.284680e-02
         400       1.184470e+00       2.754277e-01       4.740790e-01       3.321547e-02       4.909103e-03       2.659496e-02
         410       1.175710e+00       2.816238e-01       4.707691e-01       3.838916e-02       1.210761e-02       3.197164e-02
         420       1.167429e+00       2.704732e-01       4.683183e-01       4.341166e-02       2.079311e-02       3.561316e-02
         430       1.165479e+00       2.693149e-01       4.676918e-01       3.559211e-02       2.840019e-02       3.369858e-02
         440       1.168304e+00       2.744256e-01       4.683678e-01       2.830090e-02       2.448379e-02       2.673512e-02
         450       1.172120e+00       2.766721e-01       4.695172e-01       2.899784e-02       9.318303e-03       2.453988e-02
         460       1.177059e+00       2.778756e-01       4.711008e-01       3.328851e-02       4.713367e-03       2.710825e-02
         470       1.183786e+00       2.907311e-01       4.736150e-01       3.166976e-02       2.994113e-03       2.566510e-02
         480       1.189926e+00       2.713927e-01       4.764467e-01       2.753970e-02       5.350756e-03       2.085942e-02
         490       1.197161e+00       2.671557e-01       4.796451e-01       2.223486e-02       7.419426e-03       1.816099e-02
         500       1.203653e+00       2.637931e-01       4.824099e-01       2.825836e-02       1.533885e-02       2.354635e-02
         510       1.208390e+00       2.563664e-01       4.844744e-01       3.498351e-02       1.154295e-02       2.757833e-02
         520       1.213344e+00       2.633910e-01       4.860977e-01       3.570969e-02       1.444598e-02       2.887311e-02
         530       1.216716e+00       2.833662e-01       4.863637e-01       4.475507e-02       1.751105e-02       3.067295e-02
         540       1.215479e+00       2.906279e-01       4.839828e-01       6.342726e-02       1.343139e-02       4.124972e-02
         550       1.208759e+00       2.802469e-01       4.793274e-01       1.013962e-01       2.031993e-02       6.178489e-02
         560       1.197839e+00       2.733876e-01       4.755628e-01       8.025962e-02       1.604224e-02       5.687099e-02
         570       1.183809e+00       2.634530e-01       4.720911e-01       6.140541e-02       1.455605e-02       4.931948e-02
         580       1.172741e+00       2.634406e-01       4.686776e-01       5.334047e-02       2.968992e-02       4.448669e-02
         590       1.162480e+00       2.662810e-01       4.651805e-01       6.751047e-02       3.129258e-02       4.860867e-02
         600       1.156460e+00       2.726059e-01       4.630920e-01       4.582002e-02       1.829729e-02       3.920533e-02
         610       1.155436e+00       2.805026e-01       4.623366e-01       3.847906e-02       2.107213e-02       3.222771e-02
         620       1.157533e+00       2.812363e-01       4.633140e-01       3.671575e-02       1.036877e-02       3.107482e-02
         630       1.163353e+00       2.719806e-01       4.661399e-01       3.960977e-02       1.946213e-02       3.150604e-02
         640       1.173552e+00       2.631070e-01       4.706114e-01       4.558110e-02       2.601386e-02       3.601915e-02
         650       1.187424e+00       2.614928e-01       4.760203e-01       4.116435e-02       1.733689e-02       3.482660e-02
         660       1.201558e+00       2.721693e-01       4.813873e-01       3.426727e-02       1.733283e-02       2.833074e-02
         670       1.214618e+00       2.894425e-01       4.861592e-01       3.243351e-02       1.263495e-02       2.732082e-02
         680       1.221644e+00       2.936485e-01       4.888444e-01       3.261701e-02       1.650773e-02       2.821200e-02
         690       1.223757e+00       2.927341e-01       4.897410e-01       3.183738e-02       1.340718e-02       2.494478e-02
         700       1.218716e+00       2.731589e-01       4.879932e-01       3.814623e-02       2.342976e-02       3.225301e-02
         710       1.210273e+00       2.592750e-01       4.851730e-01       3.199784e-02       1.213441e-02       2.558227e-02
         720       1.200738e+00       2.578049e-01       4.814991e-01       3.253741e-02       1.249775e-02       2.615500e-02
         730       1.190445e+00       2.633278e-01       4.770583e-01       3.721689e-02       1.493885e-02       3.053210e-02
         740       1.181066e+00       2.711947e-01       4.729050e-01       3.741750e-02       6.810234e-03       2.889361e-02
