#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.198240e+00       2.908068e-01       4.795824e-01       1.514377e-02       4.791170e-03       1.232404e-02
          10       1.192703e+00       2.902374e-01       4.773157e-01       2.729452e-02       8.755269e-03       2.036749e-02
          20       1.187224e+00       2.730496e-01       4.753193e-01       3.822236e-02       6.151495e-03       2.896199e-02
          30       1.180252e+00       2.582284e-01       4.731743e-01       3.552711e-02       1.480092e-02       2.849906e-02
          40       1.179181e+00       2.700348e-01       4.726488e-01       1.915705e-02       1.292942e-02       1.539052e-02
          50       1.179205e+00       2.800314e-01       4.723153e-01       1.514700e-02       9.453515e-03       1.206152e-02
          60       1.179229e+00       2.713524e-01       4.723358e-01       3.025125e-02       9.683117e-03       2.381814e-02
          70       1.183507e+00       2.795879e-01       4.736506e-01       4.140919e-02       6.946801e-03       3.111804e-02
          80       1.187612e+00       2.763119e-01       4.752553e-01       5.534590e-02       1.662339e-02       4.087024e-02
          90       1.192528e+00       2.721321e-01       4.778953e-01       2.914867e-02       1.012184e-02       2.293835e-02
         100       1.193608e+00       2.546929e-01       4.789644e-01       2.411343e-02       1.559263e-02       2.042551e-02
         110       1.199006e+00       2.715880e-01       4.804695e-01       3.124240e-02       1.371308e-02       2.585184e-02
         120       1.195928e+00       2.786019e-01       4.788788e-01       4.143860e-02       2.869856e-02       3.353939e-02
         130       1.194571e+00       2.757739e-01       4.779832e-01       4.716925e-02       1.037155e-02       3.732666e-02
         140       1.187689e+00       2.743927e-01       4.756633e-01       2.882266e-02       1.751313e-02       2.517963e-02
         150       1.182852e+00       2.562606e-01       4.745541e-01       2.719070e-02       1.524325e-02       2.279331e-02
         160       1.181719e+00       2.567421e-01       4.739769e-01       4.596196e-02       2.119247e-02       3.845929e-02
         170       1.186805e+00       2.751947e-01       4.752430e-01       3.453079e-02       1.783922e-02       2.907443e-02
         180       1.190677e+00       2.836948e-01       4.765804e-01       3.145479e-02       1.016906e-02       2.520190e-02
         190       1.191536e+00       2.777976e-01       4.771148e-01       2.966740e-02       1.673534e-02       2.249971e-02
         200       1.194525e+00       2.782455e-01       4.785044e-01       1.653141e-02       7.960046e-03       1.408655e-02
         210       1.192761e+00       2.661497e-01       4.780432e-01       3.770918e-02       2.210056e-02       3.040265e-02
         220       1.195131e+00       2.720974e-01       4.786503e-01       4.651985e-02       1.036442e-02       3.671872e-02
         230       1.192122e+00       2.739004e-01       4.775813e-01       3.700338e-02       1.872278e-02       2.887724e-02
         240       1.188123e+00       2.694325e-01       4.760473e-01       1.630757e-02       5.742325e-03       1.286009e-02
         250       1.183161e+00       2.776344e-01       4.736854e-01       2.556614e-02       7.984991e-03       1.879333e-02
         260       1.180573e+00       2.814112e-01       4.724613e-01       3.060364e-02       6.467995e-03       2.228441e-02
         270       1.178216e+00       2.677737e-01       4.717463e-01       3.617863e-02       1.152386e-02       2.804170e-02
         280       1.178895e+00       2.779181e-01       4.719697e-01       3.603592e-02       1.813574e-02       3.077271e-02
         290       1.180183e+00       2.704552e-01       4.730580e-01       2.145413e-02       1.860595e-02       1.980243e-02
         300       1.181249e+00       2.592833e-01       4.738659e-01       2.345136e-02       1.357339e-02       2.005271e-02
         310       1.190751e+00       2.714239e-01       4.769187e-01       3.582149e-02       8.044377e-03       2.690526e-02
         320       1.198213e+00       2.858042e-01       4.795295e-01       3.415136e-02       1.844187e-02       2.731898e-02
         330       1.203757e+00       2.756674e-01       4.819022e-01       2.875698e-02       1.004594e-02       2.242840e-02
         340       1.205582e+00       2.807420e-01       4.826688e-01       2.062805e-02       1.213597e-02       1.734295e-02
         350       1.205000e+00       2.851760e-01       4.824622e-01       2.293867e-02       1.203046e-02       2.040556e-02
         360       1.199375e+00       2.726533e-01       4.803456e-01       4.826184e-02       1.636245e-02       3.635295e-02
         370       1.194742e+00       2.837146e-01       4.783408e-01       4.191316e-02       1.300482e-02       3.232914e-02
         380       1.187108e+00       2.793069e-01       4.753612e-01       2.253175e-02       9.053933e-03       1.944930e-02
         390       1.174732e+00       2.623720e-01       4.709326e-01       2.004971e-02       1.221124e-02       1.641053e-02
         400       1.169287e+00       2.699911e-01       4.685308e-01       2.068530e-02       8.412605e-03       1.678620e-02
         410       1.165786e+00       2.773324e-01       4.666006e-01       4.660171e-02       1.976396e-02       3.821278e-02
         420       1.165424e+00       2.601836e-01       4.668856e-01       5.981004e-02       2.090690e-02       4.640962e-02
         430       1.168190e+00       2.590008e-01       4.683157e-01       4.113087e-02       1.673019e-02       3.215399e-02
         440       1.181197e+00       2.761092e-01       4.729754e-01       2.171293e-02       5.021946e-03       1.754857e-02
         450       1.192088e+00       2.826261e-01       4.771449e-01       3.626316e-02       2.268215e-02       2.799272e-02
         460       1.205152e+00       2.894638e-01       4.822781e-01       3.618607e-02       1.556160e-02       2.844528e-02
         470       1.211557e+00       2.905483e-01       4.849454e-01       2.991180e-02       2.486623e-02       2.721473e-02
         480       1.211513e+00       2.693458e-01       4.852523e-01       3.839002e-02       2.301308e-02       3.185921e-02
         490       1.210431e+00       2.659567e-01       4.850183e-01       2.428445e-02       1.358284e-02       1.907548e-02
         500       1.206854e+00       2.757411e-01       4.832779e-01       2.969005e-02       2.107160e-02       2.398770e-02
         510       1.200322e+00       2.828441e-01       4.803391e-01       3.776066e-02       8.320899e-03       3.106042e-02
         520       1.189617e+00       2.794314e-01       4.761728e-01       3.191653e-02       1.335148e-02       2.567814e-02
         530       1.182034e+00       2.829458e-01       4.731214e-01       1.551615e-02       3.414284e-03       1.268399e-02
         540       1.173714e+00       2.822621e-01       4.698226e-01       1.208447e-02       7.072199e-03       9.562259e-03
         550       1.169950e+00       2.826762e-01       4.682465e-01       2.295457e-02       3.361984e-03       1.829470e-02
         560       1.167104e+00       2.782834e-01       4.670298e-01       4.056795e-02       1.586616e-02       3.131120e-02
         570       1.167813e+00       2.731877e-01       4.676048e-01       3.551969e-02       8.202801e-03       2.874328e-02
         580       1.171297e+00       2.663784e-01       4.693300e-01       2.298667e-02       9.674231e-03       1.739464e-02
         590       1.179166e+00       2.803642e-01       4.723281e-01       1.946275e-02       6.334082e-03       1.424854e-02
         600       1.190155e+00       2.873032e-01       4.763911e-01       2.756843e-02       7.869567e-03       2.290750e-02
         610       1.200489e+00       2.837620e-01       4.803746e-01       3.881682e-02       1.154975e-02       3.119709e-02
         620       1.210207e+00       2.901474e-01       4.842678e-01       3.562743e-02       1.371088e-02       2.800284e-02
         630       1.214927e+00       2.780648e-01       4.863693e-01       3.069991e-02       1.759103e-02       2.413475e-02
         640       1.218937e+00       2.896649e-01       4.879169e-01       2.456724e-02       1.226580e-02       1.966873e-02
         650       1.213562e+00       2.728423e-01       4.858489e-01       4.303987e-02       2.632038e-02       3.389908e-02
         660       1.207478e+00       2.795817e-01       4.834181e-01       4.156127e-02       1.390923e-02       3.454318e-02
         670       1.194709e+00       2.749867e-01       4.785576e-01       3.785667e-02       2.109049e-02       2.895743e-02
         680       1.181646e+00       2.571105e-01       4.739130e-01       2.212195e-02       1.232219e-02       1.920385e-02
         690       1.172056e+00       2.591469e-01       4.697793e-01       1.786119e-02       9.499963e-03       1.315936e-02
         700       1.166943e+00       2.838957e-01       4.667348e-01       4.751333e-02       1.267811e-02       3.707523e-02
         710       1.164553e+00       2.831545e-01       4.656140e-01       6.026445e-02       1.060414e-02       4.593281e-02
         720       1.165602e+00       2.796099e-01       4.664103e-01       3.842982e-02       1.673274e-02       2.916456e-02
         730       1.169802e+00       2.759245e-01       4.684815e-01       2.180401e-02       1.144679e-02       1.900536e-02
         740       1.172868e+00       2.604917e-01       4.703844e-01       2.009490e-02       1.381804e-02       1.847546e-02
         750       1.184420e+00       2.756455e-01       4.746709e-01       2.371054e-02       5.420142e-03       1.894536e-02
