#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.271344e+00       2.963541e-01       5.097390e-01       9.871239e-03       6.328219e-03       7.756906e-03
          10       1.255998e+00       3.028769e-01       5.060834e-01       4.208026e-02       2.333872e-02       2.843666e-02
          20       1.252761e+00       2.992850e-01       5.035839e-01       4.340236e-02       3.073671e-02       3.585769e-02
          30       1.252806e+00       2.951669e-01       5.037125e-01       3.845881e-02       2.354176e-02       2.994422e-02
          40       1.257818e+00       2.881342e-01       5.052058e-01       1.662478e-02       8.548010e-03       1.115637e-02
          50       1.272419e+00       2.914885e-01       5.117619e-01       2.641589e-02       1.517964e-02       2.348262e-02
          60       1.286697e+00       2.960706e-01       5.209235e-01       9.947063e-02       3.784740e-02       5.689870e-02
          70       1.316788e+00       3.032869e-01       5.280396e-01       3.360107e-02       2.288184e-02       2.653301e-02
          80       1.336286e+00       3.121201e-01       5.350097e-01       2.155362e-02       8.192339e-03       1.415205e-02
          90       1.337755e+00       3.067253e-01       5.406876e-01       9.585821e-02       3.667023e-02       5.649377e-02
         100       1.331806e+00       3.043723e-01       5.365013e-01       5.004585e-02       1.870356e-02       4.292061e-02
         110       1.300209e+00       3.019432e-01       5.247646e-01       5.875793e-02       3.028443e-02       3.998270e-02
         120       1.276906e+00       3.014516e-01       5.139703e-01       2.552446e-02       1.472777e-02       2.046969e-02
         130       1.252254e+00       2.915496e-01       5.046646e-01       5.552299e-02       3.630491e-02       4.430076e-02
         140       1.236225e+00       3.073187e-01       5.022294e-01       9.771550e-02       4.599331e-02       6.325793e-02
         150       1.238249e+00       2.940260e-01       4.973161e-01       2.427219e-02       1.669596e-02       2.104638e-02
         160       1.241393e+00       2.962485e-01       4.965567e-01       5.924458e-02       1.991288e-02       3.323767e-02
         170       1.258825e+00       2.967688e-01       5.072071e-01       4.568049e-02       2.862733e-02       3.835962e-02
         180       1.279999e+00       2.942035e-01       5.176375e-01       4.404800e-02       3.693383e-02       4.076684e-02
         190       1.311385e+00       2.879377e-01       5.280291e-01       5.401358e-02       1.976183e-02       3.183927e-02
         200       1.339665e+00       2.923342e-01       5.394262e-01       2.812741e-02       1.843590e-02       2.476893e-02
         210       1.340615e+00       2.995089e-01       5.412132e-01       5.049843e-02       3.942286e-02       4.595929e-02
         220       1.336062e+00       3.069133e-01       5.369521e-01       3.646800e-02       2.996120e-02       3.261816e-02
         230       1.312470e+00       3.204451e-01       5.259515e-01       1.100528e-02       8.130956e-03       9.452129e-03
         240       1.286221e+00       3.149584e-01       5.150360e-01       2.795790e-02       1.663719e-02       2.341353e-02
         250       1.267845e+00       3.056577e-01       5.084891e-01       3.664383e-02       1.139932e-02       3.025260e-02
         260       1.249747e+00       2.998145e-01       5.042287e-01       3.716195e-02       2.323453e-02       2.939743e-02
         270       1.247734e+00       2.970132e-01       5.021242e-01       1.768472e-02       9.014255e-03       1.296276e-02
         280       1.247604e+00       2.974851e-01       5.021405e-01       3.854820e-02       2.448587e-02       3.023310e-02
         290       1.253698e+00       2.969472e-01       5.058710e-01       4.576933e-02       3.287850e-02       3.824388e-02
         300       1.269954e+00       3.026799e-01       5.099441e-01       2.284198e-02       1.695511e-02       2.079880e-02
