#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.162349e+00       2.735579e-01       4.657088e-01       2.280814e-02       1.387798e-02       2.073020e-02
          10       1.170663e+00       2.720158e-01       4.685251e-01       3.331731e-02       1.906499e-02       2.547407e-02
          20       1.185704e+00       2.846803e-01       4.744889e-01       2.790822e-02       4.452872e-03       2.264189e-02
          30       1.196676e+00       2.793703e-01       4.792251e-01       2.983828e-02       1.916187e-02       2.349294e-02
          40       1.211524e+00       2.834952e-01       4.851152e-01       2.421742e-02       1.457033e-02       1.898164e-02
          50       1.218076e+00       2.767936e-01       4.878794e-01       3.055071e-02       2.641866e-02       2.865660e-02
          60       1.219623e+00       2.677716e-01       4.886988e-01       3.688659e-02       2.473709e-02       2.961349e-02
          70       1.216991e+00       2.729763e-01       4.874789e-01       2.777693e-02       1.696146e-02       2.392967e-02
          80       1.204320e+00       2.805760e-01       4.823774e-01       3.512958e-02       2.184349e-02       2.893682e-02
          90       1.192565e+00       2.868449e-01       4.774690e-01       2.616874e-02       7.805508e-03       2.118115e-02
         100       1.171892e+00       2.677318e-01       4.693588e-01       5.056482e-02       2.682447e-02       3.651344e-02
         110       1.159245e+00       2.557824e-01       4.648890e-01       6.052597e-02       3.849217e-02       4.354460e-02
         120       1.148767e+00       2.655271e-01       4.605040e-01       5.193573e-02       2.124244e-02       3.156241e-02
         130       1.156457e+00       2.654884e-01       4.633061e-01       3.266429e-02       2.188920e-02       2.492407e-02
         140       1.163702e+00       2.481636e-01       4.672444e-01       6.738599e-02       2.062341e-02       4.110831e-02
         150       1.178157e+00       2.586455e-01       4.729944e-01       4.680023e-02       3.169853e-02       3.854106e-02
         160       1.197387e+00       2.583289e-01       4.801709e-01       3.412375e-02       2.496924e-02       2.988692e-02
         170       1.215593e+00       2.941592e-01       4.866202e-01       3.009015e-02       2.329945e-02       2.791538e-02
         180       1.222710e+00       2.877483e-01       4.894172e-01       3.580608e-02       2.205112e-02       2.993996e-02
         190       1.217580e+00       2.720600e-01       4.876625e-01       4.332589e-02       1.987623e-02       3.121071e-02
         200       1.213486e+00       2.886169e-01       4.858978e-01       3.064085e-02       1.419893e-02       2.450180e-02
         210       1.200440e+00       2.625436e-01       4.810301e-01       3.004016e-02       1.761620e-02       2.384479e-02
         220       1.193034e+00       2.725773e-01       4.778524e-01       1.343650e-02       5.445449e-03       1.030861e-02
         230       1.180266e+00       2.842075e-01       4.723843e-01       2.403387e-02       1.833790e-02       2.104599e-02
         240       1.169131e+00       2.644258e-01       4.684950e-01       2.746133e-02       9.010485e-03       2.086673e-02
         250       1.161094e+00       2.633374e-01       4.654994e-01       3.220928e-02       1.976866e-02       2.568914e-02
         260       1.161990e+00       2.607619e-01       4.656921e-01       3.793970e-02       2.485815e-02       2.876815e-02
         270       1.167608e+00       2.622024e-01       4.678982e-01       2.894255e-02       1.884375e-02       2.346249e-02
         280       1.177564e+00       2.804488e-01       4.714438e-01       2.212900e-02       1.301331e-02       1.887326e-02
         290       1.191267e+00       2.907632e-01       4.767594e-01       2.412524e-02       9.495688e-03       2.007963e-02
         300       1.200009e+00       2.808455e-01       4.805573e-01       3.259958e-02       2.094451e-02       2.757633e-02
