#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.736628e+00       6.047421e-01       1.094874e+00       2.062562e-02       8.755029e-03       1.665725e-02
          10       2.792080e+00       5.950432e-01       1.117888e+00       4.449712e-02       2.986470e-02       3.369135e-02
          20       2.833894e+00       6.291064e-01       1.134072e+00       3.373847e-02       2.058918e-02       2.622282e-02
          30       2.831728e+00       6.495091e-01       1.132865e+00       3.414823e-02       1.315864e-02       2.244384e-02
          40       2.797343e+00       6.499823e-01       1.119008e+00       2.708004e-02       6.300813e-03       1.346753e-02
          50       2.729925e+00       6.639788e-01       1.091911e+00       2.336720e-02       1.537797e-02       2.014017e-02
          60       2.651868e+00       5.602850e-01       1.062107e+00       5.497946e-02       3.164029e-02       3.991504e-02
          70       2.592410e+00       5.091231e-01       1.039043e+00       5.804897e-02       3.355290e-02       4.164792e-02
          80       2.541036e+00       4.876974e-01       1.018000e+00       7.926980e-02       2.052399e-02       4.423628e-02
          90       2.536708e+00       5.063230e-01       1.016235e+00       5.653697e-02       2.444514e-02       3.846473e-02
         100       2.551238e+00       5.740669e-01       1.021159e+00       5.387093e-02       2.500543e-02       3.660173e-02
         110       2.640176e+00       5.722728e-01       1.057138e+00       3.441049e-02       2.260670e-02       2.970570e-02
         120       2.721618e+00       5.656651e-01       1.091064e+00       8.877018e-02       2.995063e-02       5.195965e-02
         130       2.777870e+00       5.865233e-01       1.112168e+00       6.691732e-02       1.570991e-02       3.557739e-02
         140       2.769375e+00       6.022027e-01       1.107907e+00       3.905191e-02       1.614240e-02       2.485263e-02
         150       2.740934e+00       5.822330e-01       1.098219e+00       4.203930e-02       3.279789e-02       3.757771e-02
         160       2.723040e+00       4.817521e-01       1.092808e+00       7.915333e-02       3.780383e-02       5.776032e-02
         170       2.689755e+00       4.634972e-01       1.078930e+00       9.960395e-02       2.738297e-02       5.463963e-02
         180       2.676552e+00       5.112986e-01       1.072006e+00       5.468357e-02       6.319475e-03       2.684668e-02
         190       2.655117e+00       5.992154e-01       1.062427e+00       3.433344e-02       2.414760e-02       2.959704e-02
         200       2.670650e+00       5.333265e-01       1.069563e+00       4.977218e-02       2.809100e-02       3.658847e-02
         210       2.685978e+00       4.834011e-01       1.077885e+00       8.785706e-02       3.195275e-02       5.960299e-02
         220       2.706015e+00       5.072257e-01       1.084521e+00       6.759991e-02       2.020681e-02       4.160869e-02
         230       2.707612e+00       5.731681e-01       1.083783e+00       3.380756e-02       9.699899e-03       2.047824e-02
         240       2.699343e+00       5.888136e-01       1.080322e+00       3.376657e-02       2.233941e-02       2.659848e-02
         250       2.695486e+00       6.012018e-01       1.078744e+00       3.025261e-02       1.697928e-02       2.637407e-02
         260       2.689747e+00       5.431373e-01       1.077949e+00       7.195359e-02       3.066235e-02       4.562118e-02
         270       2.690432e+00       5.234124e-01       1.078170e+00       6.629070e-02       1.862969e-02       3.798623e-02
