# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.49e+01  7.27e+01    7.86e+00  7.87e+00    2.37e+00  2.30e+00    1.0e-03
   1000    4.43e+00  3.29e+00    4.20e-03  3.74e-03    1.81e-01  1.34e-01    6.0e-04
   2000    3.38e+00  2.19e+00    2.80e-03  3.00e-03    1.78e-01  1.15e-01    3.6e-04
   3000    2.52e+00  2.19e+00    7.43e-03  8.55e-03    1.72e-01  1.49e-01    2.1e-04
   4000    2.05e+00  1.80e+00    5.10e-03  4.73e-03    1.80e-01  1.58e-01    1.3e-04
   5000    1.62e+00  1.23e+00    2.10e-03  1.97e-03    1.84e-01  1.39e-01    7.7e-05
   6000    1.23e+00  9.19e-01    5.50e-03  5.58e-03    1.79e-01  1.34e-01    4.6e-05
   7000    9.52e-01  5.42e-01    2.47e-03  2.52e-03    1.78e-01  1.01e-01    2.8e-05
   8000    4.82e-01  5.18e-01    2.47e-03  4.10e-03    1.15e-01  1.24e-01    1.7e-05
   9000    2.24e-01  2.89e-01    4.39e-03  3.37e-03    6.79e-02  8.76e-02    9.9e-06
  10000    3.50e-01  3.30e-01    4.25e-03  3.26e-03    1.33e-01  1.25e-01    5.9e-06
  11000    2.82e-01  2.50e-01    4.17e-03  1.43e-03    1.32e-01  1.17e-01    3.5e-06
  12000    3.17e-01  2.42e-01    8.70e-04  7.29e-04    1.79e-01  1.37e-01    2.1e-06
  13000    2.70e-01  2.04e-01    9.41e-04  1.05e-03    1.79e-01  1.35e-01    1.3e-06
  14000    9.25e-02  1.17e-01    3.68e-03  2.97e-03    6.92e-02  8.82e-02    7.6e-07
  15000    2.16e-01  1.57e-01    8.69e-04  9.66e-04    1.79e-01  1.30e-01    4.6e-07
  16000    2.02e-01  1.52e-01    1.06e-03  1.17e-03    1.79e-01  1.35e-01    2.7e-07
  17000    1.93e-01  1.30e-01    9.40e-04  9.35e-04    1.79e-01  1.20e-01    1.6e-07
  18000    1.98e-01  1.85e-01    6.18e-03  5.87e-03    1.88e-01  1.75e-01    9.8e-08
  19000    1.36e-01  1.28e-01    4.17e-03  3.21e-03    1.31e-01  1.24e-01    5.9e-08
  20000    1.34e-01  1.18e-01    4.26e-03  1.40e-03    1.31e-01  1.16e-01    3.5e-08
