# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    3.48e+01  3.32e+01    6.88e+00  6.88e+00    1.10e+00  1.05e+00    1.0e-03
   1000    4.29e+00  3.71e+00    4.31e-02  4.31e-02    1.75e-01  1.51e-01    6.0e-04
   2000    3.28e+00  2.87e+00    4.50e-02  4.48e-02    1.73e-01  1.51e-01    3.6e-04
   3000    2.51e+00  2.11e+00    5.17e-02  5.17e-02    1.71e-01  1.43e-01    2.1e-04
   4000    1.94e+00  1.65e+00    4.07e-02  4.07e-02    1.70e-01  1.44e-01    1.3e-04
   5000    1.50e+00  1.26e+00    2.33e-02  2.27e-02    1.70e-01  1.43e-01    7.7e-05
   6000    1.16e+00  8.06e-01    1.53e-02  1.55e-02    1.70e-01  1.17e-01    4.6e-05
   7000    9.08e-01  7.76e-01    1.11e-02  1.07e-02    1.70e-01  1.45e-01    2.8e-05
   8000    7.11e-01  5.75e-01    5.42e-03  4.93e-03    1.70e-01  1.37e-01    1.7e-05
   9000    5.61e-01  4.09e-01    3.16e-03  3.05e-03    1.70e-01  1.24e-01    9.9e-06
  10000    4.47e-01  4.13e-01    1.93e-03  1.54e-03    1.70e-01  1.57e-01    5.9e-06
  11000    3.62e-01  2.73e-01    1.39e-03  1.24e-03    1.70e-01  1.28e-01    3.5e-06
  12000    3.00e-01  2.21e-01    1.05e-03  8.93e-04    1.70e-01  1.25e-01    2.1e-06
  13000    2.56e-01  1.75e-01    8.88e-04  1.26e-03    1.70e-01  1.16e-01    1.3e-06
  14000    2.26e-01  2.25e-01    8.44e-04  7.17e-04    1.70e-01  1.69e-01    7.6e-07
  15000    2.05e-01  1.81e-01    8.28e-04  3.46e-04    1.70e-01  1.50e-01    4.6e-07
  16000    1.92e-01  2.12e-01    8.00e-04  5.72e-03    1.70e-01  1.87e-01    2.7e-07
  17000    1.83e-01  1.50e-01    7.90e-04  6.60e-04    1.70e-01  1.40e-01    1.6e-07
  18000    1.78e-01  1.48e-01    7.80e-04  8.57e-04    1.70e-01  1.41e-01    9.8e-08
  19000    1.75e-01  1.29e-01    7.75e-04  8.55e-04    1.70e-01  1.25e-01    5.9e-08
  20000    1.73e-01  1.53e-01    7.74e-04  8.93e-04    1.70e-01  1.50e-01    3.5e-08
