#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.198867e+00       2.819156e-01       4.799864e-01       1.810894e-02       6.171072e-03       1.332543e-02
          10       1.189103e+00       2.798467e-01       4.757945e-01       5.933423e-02       2.808118e-02       4.721867e-02
          20       1.183015e+00       2.685565e-01       4.732334e-01       7.089903e-02       1.071141e-02       5.632877e-02
          30       1.174723e+00       2.602226e-01       4.704095e-01       6.841006e-02       1.722520e-02       4.989503e-02
          40       1.171922e+00       2.733104e-01       4.694630e-01       2.242880e-02       6.284511e-03       1.710996e-02
          50       1.171091e+00       2.841953e-01       4.687309e-01       2.104020e-02       7.493613e-03       1.740693e-02
          60       1.173433e+00       2.771737e-01       4.689290e-01       6.859897e-02       1.112045e-02       5.382155e-02
          70       1.177874e+00       2.760611e-01       4.706267e-01       9.258783e-02       1.560210e-02       6.955418e-02
          80       1.181571e+00       2.780475e-01       4.726850e-01       8.190853e-02       2.079016e-02       6.087483e-02
          90       1.189810e+00       2.688640e-01       4.771109e-01       2.670406e-02       1.758769e-02       2.191382e-02
         100       1.193980e+00       2.553069e-01       4.788987e-01       4.070635e-02       1.738331e-02       2.878767e-02
         110       1.203806e+00       2.769212e-01       4.807304e-01       7.977422e-02       1.022675e-02       6.424882e-02
         120       1.201291e+00       2.761623e-01       4.794580e-01       1.167487e-01       5.293064e-02       8.704580e-02
         130       1.201855e+00       2.683527e-01       4.803677e-01       8.173191e-02       1.124643e-02       6.226588e-02
         140       1.195792e+00       2.507422e-01       4.799653e-01       3.181391e-02       2.373525e-02       2.688403e-02
         150       1.194688e+00       2.527681e-01       4.795520e-01       3.135690e-02       2.057134e-02       2.636349e-02
         160       1.197499e+00       2.762914e-01       4.785138e-01       8.414970e-02       4.006069e-02       6.726424e-02
         170       1.198059e+00       2.765995e-01       4.780727e-01       1.061298e-01       1.965548e-02       7.833930e-02
         180       1.196103e+00       2.742028e-01       4.777295e-01       8.171738e-02       1.563272e-02       6.495289e-02
         190       1.188153e+00       2.690394e-01       4.762916e-01       3.788893e-02       2.574955e-02       3.139633e-02
         200       1.183903e+00       2.629139e-01       4.750147e-01       2.735139e-02       1.110012e-02       1.827737e-02
         210       1.178631e+00       2.583270e-01       4.717438e-01       7.122141e-02       2.964138e-02       5.663022e-02
         220       1.180139e+00       2.841797e-01       4.713199e-01       8.400128e-02       9.136852e-03       6.708941e-02
         230       1.176367e+00       2.729379e-01       4.699177e-01       7.971078e-02       1.961136e-02       6.066643e-02
         240       1.178244e+00       2.846338e-01       4.715715e-01       3.217730e-02       7.502083e-03       2.503265e-02
         250       1.177785e+00       2.711671e-01       4.719396e-01       2.056384e-02       1.241780e-02       1.550887e-02
         260       1.178443e+00       2.625842e-01       4.718594e-01       7.132440e-02       2.455974e-02       5.525636e-02
         270       1.184615e+00       2.694450e-01       4.737446e-01       8.830311e-02       1.073432e-02       6.605551e-02
         280       1.189934e+00       2.786303e-01       4.757474e-01       7.388009e-02       2.423846e-02       5.652437e-02
         290       1.195988e+00       2.842386e-01       4.787690e-01       2.327210e-02       7.587583e-03       1.975457e-02
         300       1.197724e+00       2.931935e-01       4.793462e-01       2.504832e-02       1.500849e-02       1.904307e-02
         310       1.199562e+00       2.763015e-01       4.795515e-01       6.376373e-02       9.672972e-03       4.945918e-02
         320       1.196539e+00       2.578134e-01       4.786342e-01       9.406255e-02       2.267959e-02       6.635149e-02
         330       1.198723e+00       2.720074e-01       4.793178e-01       6.765057e-02       1.136889e-02       5.389579e-02
         340       1.195954e+00       2.738103e-01       4.790855e-01       2.719955e-02       1.977417e-02       2.371441e-02
         350       1.192425e+00       2.598674e-01       4.779439e-01       2.445909e-02       1.385938e-02       1.937326e-02
         360       1.190661e+00       2.688081e-01       4.759926e-01       7.039991e-02       1.494274e-02       5.374959e-02
         370       1.188673e+00       2.754625e-01       4.747868e-01       8.984540e-02       9.886368e-03       6.481951e-02
         380       1.186692e+00       2.704094e-01       4.743845e-01       7.142883e-02       1.434831e-02       5.470498e-02
         390       1.183476e+00       2.821762e-01       4.739364e-01       2.850416e-02       1.978306e-02       2.481128e-02
         400       1.179812e+00       2.676579e-01       4.730854e-01       2.170946e-02       1.205163e-02       1.823582e-02
         410       1.173350e+00       2.654795e-01       4.698653e-01       8.301625e-02       3.495278e-02       6.706666e-02
         420       1.178707e+00       2.769657e-01       4.706018e-01       1.032389e-01       1.819921e-02       8.259257e-02
         430       1.180108e+00       2.794767e-01       4.710184e-01       9.317308e-02       2.662258e-02       7.173354e-02
         440       1.183045e+00       2.857428e-01       4.733706e-01       3.103347e-02       4.521265e-03       2.330709e-02
         450       1.184144e+00       2.767897e-01       4.742794e-01       3.188003e-02       2.027659e-02       2.638120e-02
         460       1.183639e+00       2.372237e-01       4.749422e-01       9.722128e-02       4.680804e-02       7.114375e-02
         470       1.193487e+00       2.473300e-01       4.777601e-01       1.185726e-01       3.350761e-02       8.430711e-02
         480       1.206048e+00       2.719745e-01       4.813935e-01       1.005876e-01       2.310902e-02       7.487251e-02
         490       1.215324e+00       2.872688e-01       4.861983e-01       4.303565e-02       2.076301e-02       3.619656e-02
         500       1.214609e+00       2.931975e-01       4.863307e-01       4.107390e-02       1.509044e-02       2.728062e-02
         510       1.209496e+00       2.793430e-01       4.831515e-01       8.264251e-02       1.159407e-02       6.318628e-02
         520       1.194638e+00       2.707412e-01       4.773552e-01       1.056158e-01       4.069429e-02       8.010411e-02
         530       1.188401e+00       2.796401e-01       4.750320e-01       6.696455e-02       1.011631e-02       5.497363e-02
         540       1.176880e+00       2.804323e-01       4.709119e-01       3.648580e-02       1.304675e-02       2.907629e-02
         550       1.168794e+00       2.817057e-01       4.677859e-01       2.613085e-02       7.799888e-03       2.005545e-02
         560       1.163631e+00       2.789217e-01       4.650836e-01       6.280969e-02       1.216577e-02       5.003302e-02
         570       1.160674e+00       2.662111e-01       4.635176e-01       8.347384e-02       1.438173e-02       6.697838e-02
         580       1.165477e+00       2.682264e-01       4.648588e-01       9.235724e-02       1.404518e-02       6.207656e-02
         590       1.172561e+00       2.828996e-01       4.670814e-01       5.507276e-02       1.797829e-02       4.356129e-02
         600       1.182350e+00       2.798454e-01       4.700865e-01       9.210784e-02       9.275242e-03       5.396427e-02
         610       1.190206e+00       2.668315e-01       4.735943e-01       7.285455e-02       1.382722e-02       5.389602e-02
         620       1.203800e+00       2.851152e-01       4.792226e-01       8.497644e-02       8.238436e-03       6.129809e-02
         630       1.211969e+00       2.914314e-01       4.836489e-01       7.725899e-02       2.679206e-02       6.006801e-02
         640       1.218371e+00       3.002248e-01       4.870019e-01       5.014236e-02       1.596878e-02       4.037241e-02
         650       1.218015e+00       3.005142e-01       4.873083e-01       3.744828e-02       2.859584e-02       3.310153e-02
         660       1.212836e+00       2.722147e-01       4.850636e-01       6.441075e-02       2.433945e-02       4.935019e-02
         670       1.205788e+00       2.726666e-01       4.817183e-01       7.977596e-02       2.540577e-02       6.228094e-02
         680       1.196188e+00       2.863258e-01       4.779875e-01       7.373369e-02       1.553774e-02       5.863359e-02
         690       1.183741e+00       2.733546e-01       4.733731e-01       6.468313e-02       9.425454e-03       5.182524e-02
         700       1.168301e+00       2.600036e-01       4.678504e-01       5.143499e-02       1.473555e-02       4.050020e-02
         710       1.162917e+00       2.777416e-01       4.650610e-01       5.929924e-02       6.807643e-03       4.661933e-02
         720       1.157782e+00       2.792497e-01       4.621012e-01       8.521570e-02       1.906336e-02       6.760244e-02
         730       1.162303e+00       2.820727e-01       4.643688e-01       7.430936e-02       9.077673e-03       5.935070e-02
         740       1.166316e+00       2.791450e-01       4.662444e-01       6.391769e-02       1.473066e-02       5.221937e-02
         750       1.174357e+00       2.794617e-01       4.699513e-01       6.610965e-02       8.889301e-03       4.945548e-02
         760       1.184621e+00       2.711703e-01       4.741190e-01       7.382989e-02       1.085319e-02       5.345149e-02
         770       1.198402e+00       2.810436e-01       4.785680e-01       9.051571e-02       1.940794e-02       6.821311e-02
         780       1.208326e+00       2.922289e-01       4.825154e-01       7.685073e-02       1.934728e-02       6.352637e-02
         790       1.210307e+00       2.841446e-01       4.840748e-01       5.799339e-02       3.621182e-02       4.818546e-02
         800       1.212772e+00       2.890358e-01       4.851301e-01       4.475372e-02       1.582919e-02       3.561960e-02
         810       1.206595e+00       2.652019e-01       4.827302e-01       7.474955e-02       3.121778e-02       5.608342e-02
         820       1.204041e+00       2.667102e-01       4.811312e-01       8.289290e-02       1.163765e-02       6.430253e-02
         830       1.196299e+00       2.741318e-01       4.780921e-01       8.282996e-02       3.236067e-02       6.653308e-02
         840       1.188850e+00       2.588634e-01       4.759607e-01       6.323736e-02       1.339603e-02       5.093526e-02
         850       1.181604e+00       2.596244e-01       4.731916e-01       5.195426e-02       1.536572e-02       3.884935e-02
         860       1.180285e+00       2.847755e-01       4.716481e-01       6.961078e-02       1.058638e-02       5.306460e-02
         870       1.177554e+00       2.800489e-01       4.700850e-01       9.201570e-02       1.259382e-02       7.114680e-02
         880       1.177080e+00       2.669320e-01       4.704654e-01       7.889494e-02       1.394136e-02       6.124112e-02
         890       1.177628e+00       2.707889e-01       4.716395e-01       4.857143e-02       1.543530e-02       4.035579e-02
         900       1.175604e+00       2.640983e-01       4.712884e-01       4.314007e-02       1.644885e-02       3.371808e-02
         910       1.182701e+00       2.784617e-01       4.733598e-01       5.971650e-02       7.949409e-03       4.694813e-02
         920       1.186689e+00       2.781226e-01       4.738724e-01       9.547162e-02       1.764820e-02       7.062615e-02
         930       1.192585e+00       2.874281e-01       4.758320e-01       8.592353e-02       7.851156e-03       6.699704e-02
         940       1.192910e+00       2.846657e-01       4.771406e-01       5.196486e-02       1.902793e-02       4.098781e-02
         950       1.196175e+00       2.770404e-01       4.789164e-01       3.203788e-02       8.253645e-03       2.434868e-02
         960       1.194293e+00       2.537907e-01       4.782598e-01       7.621298e-02       1.752697e-02       5.606412e-02
         970       1.196391e+00       2.619221e-01       4.785016e-01       9.326933e-02       1.949929e-02       7.078510e-02
         980       1.198338e+00       2.762820e-01       4.788551e-01       7.727530e-02       2.328040e-02       6.410431e-02
         990       1.196791e+00       2.738498e-01       4.788581e-01       5.542056e-02       2.353250e-02       4.445357e-02
        1000       1.197258e+00       2.890142e-01       4.790590e-01       3.402942e-02       1.104544e-02       2.684130e-02
        1010       1.193004e+00       2.851910e-01       4.765156e-01       8.005932e-02       1.648201e-02       6.109371e-02
        1020       1.188185e+00       2.661792e-01       4.744397e-01       1.144125e-01       2.227436e-02       8.738564e-02
        1030       1.181524e+00       2.503529e-01       4.726655e-01       1.005841e-01       3.520237e-02       7.703634e-02
        1040       1.180957e+00       2.696752e-01       4.732221e-01       4.007134e-02       2.052070e-02       3.499592e-02
        1050       1.175502e+00       2.689352e-01       4.709865e-01       1.936192e-02       1.538456e-02       1.735161e-02
        1060       1.179528e+00       2.844726e-01       4.714308e-01       6.442419e-02       6.943791e-03       4.890745e-02
        1070       1.178841e+00       2.805503e-01       4.703535e-01       9.722161e-02       1.529276e-02       7.830310e-02
        1080       1.179473e+00       2.714018e-01       4.708963e-01       1.053068e-01       2.131230e-02       8.220962e-02
        1090       1.182807e+00       2.699365e-01       4.737617e-01       5.934276e-02       1.717499e-02       4.677233e-02
        1100       1.188691e+00       2.660523e-01       4.764984e-01       2.303886e-02       1.269495e-02       1.756982e-02
        1110       1.193753e+00       2.626279e-01       4.774827e-01       7.362079e-02       1.450412e-02       5.578488e-02
        1120       1.197279e+00       2.858956e-01       4.780523e-01       9.059906e-02       2.538137e-02       7.094182e-02
        1130       1.201500e+00       2.947476e-01       4.798409e-01       7.357371e-02       7.836895e-03       5.760326e-02
        1140       1.199084e+00       2.707994e-01       4.798751e-01       4.654256e-02       2.237908e-02       3.660890e-02
        1150       1.199609e+00       2.785211e-01       4.803776e-01       1.894012e-02       8.349914e-03       1.470212e-02
        1160       1.195463e+00       2.789710e-01       4.782215e-01       5.836995e-02       1.822880e-02       4.814884e-02
        1170       1.191719e+00       2.623921e-01       4.764905e-01       8.680772e-02       1.848052e-02       6.610459e-02
        1180       1.187394e+00       2.616567e-01       4.750375e-01       7.253416e-02       1.519142e-02       5.562278e-02
        1190       1.185813e+00       2.826668e-01       4.746820e-01       3.059411e-02       4.729536e-03       2.316460e-02
        1200       1.183109e+00       2.812374e-01       4.735049e-01       2.373903e-02       6.518452e-03       1.935142e-02
        1210       1.182181e+00       2.907274e-01       4.725309e-01       5.842365e-02       7.312417e-03       4.454631e-02
        1220       1.181133e+00       2.831423e-01       4.718478e-01       7.153408e-02       6.037303e-03       5.772755e-02
        1230       1.179034e+00       2.763114e-01       4.715574e-01       7.237774e-02       9.197474e-03       5.314542e-02
        1240       1.181662e+00       2.783032e-01       4.732005e-01       3.497914e-02       7.027851e-03       2.716689e-02
        1250       1.183225e+00       2.673051e-01       4.739865e-01       3.984185e-02       1.563302e-02       3.037152e-02
        1260       1.186949e+00       2.659404e-01       4.745674e-01       8.467756e-02       1.287190e-02       6.401270e-02
        1270       1.188653e+00       2.790024e-01       4.745867e-01       9.430862e-02       2.837248e-02       7.661258e-02
        1280       1.195440e+00       2.832570e-01       4.776307e-01       7.380878e-02       7.672103e-03       5.626058e-02
        1290       1.195010e+00       2.731463e-01       4.782923e-01       4.914653e-02       2.370570e-02       3.843291e-02
        1300       1.197341e+00       2.754228e-01       4.794561e-01       4.530744e-02       2.266672e-02       3.663872e-02
        1310       1.195749e+00       2.662456e-01       4.783487e-01       8.582054e-02       3.248738e-02       6.976017e-02
        1320       1.194946e+00       2.521317e-01       4.769837e-01       1.159423e-01       3.741074e-02       9.374470e-02
        1330       1.196088e+00       2.637900e-01       4.778262e-01       9.728395e-02       1.999431e-02       7.410350e-02
        1340       1.195007e+00       2.872572e-01       4.779479e-01       5.239162e-02       2.225172e-02       4.028492e-02
        1350       1.191348e+00       2.841629e-01       4.764651e-01       6.266557e-02       1.501469e-02       4.722407e-02
        1360       1.186120e+00       2.617252e-01       4.743020e-01       7.869377e-02       1.787395e-02       6.356735e-02
        1370       1.183848e+00       2.667359e-01       4.732310e-01       8.676799e-02       2.683957e-02       7.190886e-02
        1380       1.178262e+00       2.672478e-01       4.716070e-01       8.287989e-02       1.864366e-02       6.201813e-02
        1390       1.181426e+00       2.726988e-01       4.729479e-01       4.289117e-02       8.036137e-03       3.453005e-02
        1400       1.181880e+00       2.796722e-01       4.728098e-01       4.470153e-02       8.563479e-03       3.572951e-02
        1410       1.184377e+00       2.780510e-01       4.730508e-01       8.043173e-02       1.088850e-02       6.218641e-02
        1420       1.185965e+00       2.781572e-01       4.735070e-01       8.455063e-02       8.704156e-03       6.503877e-02
        1430       1.188711e+00       2.728135e-01       4.755324e-01       6.176501e-02       1.032830e-02       4.694485e-02
        1440       1.189448e+00       2.604597e-01       4.766086e-01       3.867843e-02       1.133148e-02       2.868242e-02
        1450       1.191546e+00       2.731765e-01       4.771274e-01       5.038854e-02       1.495671e-02       3.777156e-02
        1460       1.195373e+00       2.820236e-01       4.779042e-01       6.854148e-02       1.113611e-02       5.407558e-02
        1470       1.195878e+00       2.747335e-01       4.776903e-01       7.822168e-02       1.540832e-02       6.182295e-02
        1480       1.196335e+00       2.834720e-01       4.782992e-01       6.022502e-02       1.020600e-02       4.642945e-02
        1490       1.193914e+00       2.879641e-01       4.776747e-01       3.858425e-02       1.386828e-02       2.967701e-02
        1500       1.190972e+00       2.733703e-01       4.763746e-01       6.738666e-02       1.119838e-02       5.013396e-02
        1510       1.186555e+00       2.596397e-01       4.744592e-01       8.760913e-02       2.072058e-02       6.965304e-02
        1520       1.186333e+00       2.700284e-01       4.741421e-01       8.238811e-02       2.510087e-02       6.892418e-02
        1530       1.180943e+00       2.703915e-01       4.727848e-01       7.346948e-02       2.516156e-02       5.718725e-02
        1540       1.185165e+00       2.706516e-01       4.744762e-01       4.512328e-02       1.915158e-02       3.407180e-02
        1550       1.188973e+00       2.908275e-01       4.749622e-01       7.094810e-02       1.211682e-02       5.695192e-02
        1560       1.185981e+00       2.715587e-01       4.732368e-01       1.243927e-01       3.398564e-02       9.642193e-02
        1570       1.188340e+00       2.714778e-01       4.738658e-01       1.238852e-01       1.969027e-02       9.274408e-02
        1580       1.186367e+00       2.628650e-01       4.747329e-01       8.723215e-02       3.074164e-02       6.563204e-02
        1590       1.183711e+00       2.569734e-01       4.743440e-01       5.218953e-02       2.074938e-02       3.999347e-02
        1600       1.181587e+00       2.763276e-01       4.723421e-01       7.247259e-02       1.285228e-02       5.380196e-02
        1610       1.181079e+00       2.685436e-01       4.717791e-01       1.010392e-01       1.368877e-02       7.373738e-02
        1620       1.180154e+00       2.531178e-01       4.719111e-01       1.133303e-01       1.760299e-02       7.884274e-02
        1630       1.187376e+00       2.726728e-01       4.744788e-01       7.541732e-02       1.743531e-02       6.188015e-02
        1640       1.191429e+00       2.752431e-01       4.769886e-01       4.512093e-02       1.677947e-02       3.473625e-02
        1650       1.196410e+00       2.687369e-01       4.786312e-01       5.792205e-02       1.753602e-02       4.528792e-02
        1660       1.200853e+00       2.856649e-01       4.796101e-01       7.977510e-02       1.829740e-02       6.281652e-02
        1670       1.202576e+00       2.779693e-01       4.803768e-01       8.746134e-02       1.466425e-02       6.433077e-02
        1680       1.202878e+00       2.825402e-01       4.806705e-01       6.973277e-02       2.300273e-02       5.637083e-02
        1690       1.200437e+00       2.854508e-01       4.804039e-01       3.695303e-02       1.768226e-02       3.190444e-02
        1700       1.194803e+00       2.692355e-01       4.784085e-01       3.952343e-02       1.172479e-02       3.148179e-02
        1710       1.186602e+00       2.672656e-01       4.746070e-01       7.580898e-02       2.711503e-02       5.796806e-02
        1720       1.183783e+00       2.860963e-01       4.729188e-01       7.735273e-02       6.330359e-03       6.233073e-02
        1730       1.177811e+00       2.773508e-01       4.705856e-01       7.363855e-02       1.230597e-02       5.736945e-02
        1740       1.174611e+00       2.804484e-01       4.698368e-01       5.025029e-02       2.815211e-03       3.743404e-02
        1750       1.172389e+00       2.858097e-01       4.688394e-01       4.896819e-02       5.506739e-03       3.732906e-02
        1760       1.171865e+00       2.765884e-01       4.681763e-01       8.436020e-02       1.755002e-02       6.502190e-02
        1770       1.175147e+00       2.675126e-01       4.695520e-01       1.134095e-01       2.095731e-02       8.173998e-02
        1780       1.182475e+00       2.796764e-01       4.719892e-01       9.927788e-02       2.357767e-02       7.720016e-02
        1790       1.190936e+00       2.766271e-01       4.767402e-01       5.600665e-02       1.951414e-02       4.289441e-02
        1800       1.197876e+00       2.652696e-01       4.796446e-01       5.205864e-02       2.801188e-02       4.354939e-02
        1810       1.209250e+00       2.819630e-01       4.821793e-01       9.582688e-02       2.428900e-02       7.838395e-02
        1820       1.211762e+00       2.795923e-01       4.827140e-01       1.331016e-01       3.200887e-02       9.905050e-02
        1830       1.212616e+00       2.856437e-01       4.826274e-01       1.309958e-01       2.751196e-02       1.042591e-01
        1840       1.205866e+00       2.729276e-01       4.814428e-01       9.166711e-02       3.183381e-02       7.615367e-02
        1850       1.194852e+00       2.526594e-01       4.791731e-01       4.007979e-02       1.745185e-02       2.922126e-02
        1860       1.184742e+00       2.618467e-01       4.741438e-01       7.107319e-02       3.673075e-02       5.683037e-02
        1870       1.181199e+00       2.700809e-01       4.713835e-01       1.049327e-01       2.024981e-02       7.666472e-02
        1880       1.177598e+00       2.742332e-01       4.697465e-01       1.098506e-01       1.459694e-02       8.455258e-02
        1890       1.174664e+00       2.825129e-01       4.688407e-01       8.713471e-02       1.716988e-02       7.037088e-02
        1900       1.174132e+00       2.662849e-01       4.701097e-01       4.189335e-02       7.174163e-03       3.322958e-02
