#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.313003e+00       3.096142e-01       5.270187e-01       8.370437e-03       6.449516e-03       7.392773e-03
          10       1.292780e+00       3.037590e-01       5.213756e-01       3.664450e-02       2.911471e-02       3.250349e-02
          20       1.277117e+00       2.989657e-01       5.131498e-01       4.589225e-02       1.275168e-02       3.607349e-02
          30       1.262149e+00       2.962112e-01       5.062302e-01       3.134653e-02       2.209711e-02       2.697775e-02
          40       1.250807e+00       3.015430e-01       5.036705e-01       2.807004e-02       1.455873e-02       1.853012e-02
          50       1.249393e+00       3.003868e-01       5.021742e-01       3.984690e-02       1.370386e-02       3.353065e-02
          60       1.250374e+00       2.998064e-01       5.035031e-01       5.990331e-02       3.579525e-02       4.672577e-02
          70       1.262166e+00       2.905265e-01       5.080037e-01       2.702610e-02       1.613105e-02       2.086548e-02
          80       1.278783e+00       2.891804e-01       5.141861e-01       2.606090e-02       1.426691e-02       1.917762e-02
          90       1.301359e+00       2.936602e-01       5.284153e-01       8.335460e-02       4.285608e-02       5.335759e-02
         100       1.331714e+00       2.917979e-01       5.389198e-01       5.509962e-02       3.462569e-02       4.776931e-02
         110       1.344096e+00       3.081320e-01       5.386146e-01       3.742630e-02       2.485294e-02       3.271222e-02
         120       1.342312e+00       3.101506e-01       5.394708e-01       2.874922e-02       2.719190e-02       2.790470e-02
         130       1.318367e+00       3.034195e-01       5.306518e-01       8.459206e-02       4.850443e-02       6.712561e-02
         140       1.289910e+00       2.958559e-01       5.216580e-01       6.905057e-02       4.465689e-02       5.241926e-02
         150       1.270560e+00       2.946742e-01       5.139192e-01       1.926767e-02       1.549165e-02       1.669635e-02
         160       1.253227e+00       2.905028e-01       5.063297e-01       5.041427e-02       2.506803e-02       3.669862e-02
         170       1.247811e+00       2.915359e-01       5.052643e-01       4.188153e-02       3.658262e-02       3.939647e-02
         180       1.246982e+00       2.934726e-01       5.031902e-01       4.817703e-02       3.204399e-02       3.833951e-02
         190       1.254385e+00       3.001459e-01       5.029005e-01       3.813211e-02       1.959127e-02       2.925411e-02
         200       1.268291e+00       3.075653e-01       5.082416e-01       3.013759e-02       4.724909e-03       2.432368e-02
         210       1.283401e+00       3.073878e-01       5.154878e-01       4.609685e-02       2.356071e-02       3.792600e-02
         220       1.306751e+00       3.053929e-01       5.251119e-01       3.097337e-02       1.487558e-02       2.649029e-02
         230       1.322431e+00       3.011633e-01       5.324671e-01       1.803919e-02       1.382775e-02       1.608220e-02
         240       1.330141e+00       2.976949e-01       5.368772e-01       3.789018e-02       2.974729e-02       3.337529e-02
         250       1.328137e+00       2.949641e-01       5.354445e-01       3.502608e-02       1.658629e-02       3.107058e-02
         260       1.310291e+00       2.967169e-01       5.275098e-01       3.188235e-02       2.493505e-02       2.847402e-02
         270       1.291820e+00       3.016328e-01       5.181602e-01       2.987062e-02       2.162734e-02       2.619514e-02
         280       1.270711e+00       3.066876e-01       5.094298e-01       3.946268e-02       1.793996e-02       3.297328e-02
         290       1.255447e+00       3.048430e-01       5.051252e-01       4.748160e-02       3.076660e-02       3.968378e-02
         300       1.249608e+00       2.966966e-01       5.029053e-01       2.914808e-02       1.768560e-02       2.442148e-02
