# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.04e+02  1.02e+02    7.31e+00  7.32e+00    3.29e+00  3.21e+00    1.0e-03
   1000    3.76e+00  4.03e+00    1.74e-02  1.82e-02    1.54e-01  1.65e-01    6.0e-04
   2000    3.36e+00  2.96e+00    2.02e-02  1.98e-02    1.77e-01  1.56e-01    3.6e-04
   3000    2.53e+00  2.45e+00    6.45e-03  5.96e-03    1.72e-01  1.67e-01    2.1e-04
   4000    1.96e+00  1.26e+00    5.57e-03  5.83e-03    1.73e-01  1.10e-01    1.3e-04
   5000    1.53e+00  1.38e+00    1.89e-03  1.99e-03    1.74e-01  1.56e-01    7.7e-05
   6000    1.19e+00  9.77e-01    1.10e-02  1.09e-02    1.74e-01  1.42e-01    4.6e-05
   7000    9.36e-01  9.08e-01    1.19e-03  9.96e-04    1.75e-01  1.70e-01    2.8e-05
   8000    7.34e-01  5.05e-01    2.57e-03  2.40e-03    1.75e-01  1.21e-01    1.7e-05
   9000    5.79e-01  4.36e-01    1.08e-03  1.07e-03    1.76e-01  1.32e-01    9.9e-06
  10000    4.59e-01  4.40e-01    4.63e-03  4.61e-03    1.74e-01  1.67e-01    5.9e-06
  11000    3.72e-01  3.75e-01    1.05e-03  5.63e-03    1.74e-01  1.76e-01    3.5e-06
  12000    3.09e-01  2.27e-01    9.97e-04  8.12e-04    1.75e-01  1.29e-01    2.1e-06
  13000    2.63e-01  1.79e-01    9.61e-04  7.63e-04    1.75e-01  1.19e-01    1.3e-06
  14000    2.31e-01  1.41e-01    1.02e-03  7.39e-04    1.74e-01  1.06e-01    7.6e-07
  15000    2.10e-01  1.53e-01    1.13e-03  1.25e-03    1.74e-01  1.27e-01    4.6e-07
  16000    1.97e-01  1.64e-01    9.19e-04  9.55e-04    1.74e-01  1.45e-01    2.7e-07
  17000    1.88e-01  1.29e-01    9.05e-04  1.09e-03    1.74e-01  1.20e-01    1.6e-07
  18000    1.83e-01  1.34e-01    9.15e-04  1.00e-03    1.74e-01  1.28e-01    9.8e-08
  19000    1.79e-01  1.33e-01    1.14e-03  9.09e-04    1.74e-01  1.29e-01    5.9e-08
  20000    1.77e-01  1.41e-01    9.31e-04  7.72e-04    1.74e-01  1.38e-01    3.5e-08
