#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.668023e+00       5.943711e-01       1.067616e+00       1.860817e-02       8.490567e-03       1.410585e-02
          10       2.705883e+00       6.261547e-01       1.082600e+00       2.280265e-02       1.192550e-02       1.923302e-02
          20       2.746677e+00       6.440421e-01       1.099105e+00       3.218329e-02       1.885070e-02       2.699357e-02
          30       2.776738e+00       6.119913e-01       1.111368e+00       3.628202e-02       3.305910e-02       3.460582e-02
          40       2.794819e+00       5.832998e-01       1.118546e+00       3.111398e-02       1.977403e-02       2.571855e-02
          50       2.795112e+00       5.609797e-01       1.118784e+00       2.954456e-02       1.050018e-02       2.186411e-02
          60       2.768065e+00       5.587823e-01       1.108254e+00       3.523199e-02       2.125280e-02       2.965080e-02
          70       2.725083e+00       5.678494e-01       1.091455e+00       4.194469e-02       2.277536e-02       3.547562e-02
          80       2.666579e+00       5.678727e-01       1.068332e+00       4.390148e-02       3.508652e-02       3.986959e-02
          90       2.618681e+00       5.474748e-01       1.048249e+00       3.086195e-02       1.836207e-02       2.436614e-02
         100       2.578280e+00       5.320827e-01       1.032040e+00       4.182113e-02       1.746958e-02       2.979838e-02
         110       2.574641e+00       5.449922e-01       1.031014e+00       3.666185e-02       2.442146e-02       3.276120e-02
         120       2.586896e+00       5.707980e-01       1.036046e+00       4.387762e-02       2.076535e-02       3.613763e-02
         130       2.627201e+00       5.476098e-01       1.053659e+00       5.583995e-02       4.842094e-02       5.263297e-02
         140       2.680582e+00       5.556321e-01       1.074441e+00       3.745722e-02       2.867028e-02       3.289502e-02
         150       2.725873e+00       5.830349e-01       1.091493e+00       3.041332e-02       1.843735e-02       2.293128e-02
         160       2.754869e+00       6.058133e-01       1.103036e+00       4.527378e-02       2.656560e-02       3.384683e-02
         170       2.755887e+00       6.385159e-01       1.102813e+00       4.727445e-02       2.962409e-02       3.628767e-02
         180       2.748494e+00       6.104184e-01       1.099831e+00       3.130357e-02       1.571043e-02       2.748714e-02
         190       2.728910e+00       5.765434e-01       1.092229e+00       2.885293e-02       1.546676e-02       2.124432e-02
         200       2.710340e+00       5.800728e-01       1.084776e+00       2.479644e-02       1.345066e-02       1.671405e-02
         210       2.686602e+00       5.829588e-01       1.075843e+00       2.920319e-02       1.718597e-02       2.613543e-02
         220       2.667384e+00       5.702511e-01       1.068387e+00       3.295806e-02       1.394471e-02       2.811897e-02
         230       2.651579e+00       5.600637e-01       1.061781e+00       3.186818e-02       2.361046e-02       2.635228e-02
         240       2.647266e+00       5.515752e-01       1.059777e+00       3.281370e-02       1.103543e-02       2.037068e-02
         250       2.654985e+00       5.719978e-01       1.062446e+00       2.669537e-02       1.615862e-02       1.954194e-02
         260       2.672463e+00       6.274343e-01       1.069221e+00       3.346623e-02       2.112994e-02       2.858024e-02
         270       2.700461e+00       5.972476e-01       1.080719e+00       3.514970e-02       1.066919e-02       2.749642e-02
         280       2.724361e+00       5.751090e-01       1.090599e+00       3.355236e-02       2.695426e-02       3.004747e-02
         290       2.747965e+00       5.601144e-01       1.100489e+00       2.608111e-02       1.689911e-02       2.248696e-02
         300       2.751848e+00       5.521758e-01       1.102780e+00       3.990967e-02       2.772911e-02       3.336241e-02
         310       2.742599e+00       5.781950e-01       1.098553e+00       4.307961e-02       1.278160e-02       3.363476e-02
         320       2.709917e+00       5.945300e-01       1.084679e+00       3.900810e-02       1.889195e-02       3.149008e-02
         330       2.671328e+00       5.957246e-01       1.068945e+00       2.525904e-02       1.970805e-02       2.290792e-02
         340       2.634655e+00       6.155062e-01       1.054093e+00       2.180869e-02       1.496350e-02       1.851685e-02
         350       2.615412e+00       5.711963e-01       1.047818e+00       4.098762e-02       2.909889e-02       3.380953e-02
         360       2.619383e+00       5.440243e-01       1.050394e+00       5.028819e-02       4.014474e-02       4.709359e-02
         370       2.630158e+00       5.482972e-01       1.053714e+00       4.191697e-02       3.258236e-02       3.718169e-02
