# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.13e+02  1.11e+02    5.75e+00  5.76e+00    3.56e+00  3.50e+00    1.0e-03
   1000    3.89e+00  4.44e+00    3.46e-02  3.33e-02    1.59e-01  1.81e-01    6.0e-04
   2000    3.32e+00  2.64e+00    2.46e-02  2.41e-02    1.75e-01  1.39e-01    3.6e-04
   3000    2.60e+00  1.97e+00    2.49e-02  2.46e-02    1.77e-01  1.34e-01    2.1e-04
   4000    2.03e+00  1.55e+00    2.67e-02  2.66e-02    1.78e-01  1.36e-01    1.3e-04
   5000    1.55e+00  9.99e-01    1.07e-03  1.23e-03    1.76e-01  1.13e-01    7.7e-05
   6000    9.20e-01  9.02e-01    1.03e-03  2.23e-03    1.34e-01  1.32e-01    4.6e-05
   7000    9.45e-01  8.85e-01    8.18e-03  7.99e-03    1.77e-01  1.66e-01    2.8e-05
   8000    5.38e-01  5.49e-01    1.15e-03  2.97e-03    1.29e-01  1.31e-01    1.7e-05
   9000    5.86e-01  5.11e-01    1.90e-03  1.58e-03    1.78e-01  1.55e-01    9.9e-06
  10000    4.67e-01  2.49e-01    1.00e-03  9.36e-04    1.78e-01  9.47e-02    5.9e-06
  11000    3.77e-01  2.48e-01    9.42e-04  1.14e-03    1.77e-01  1.16e-01    3.5e-06
  12000    3.12e-01  1.91e-01    9.69e-04  1.02e-03    1.77e-01  1.08e-01    2.1e-06
  13000    2.67e-01  1.76e-01    9.28e-04  7.43e-04    1.77e-01  1.17e-01    1.3e-06
  14000    2.34e-01  1.76e-01    1.03e-03  1.03e-03    1.77e-01  1.33e-01    7.6e-07
  15000    2.13e-01  1.37e-01    9.28e-04  6.82e-04    1.77e-01  1.14e-01    4.6e-07
  16000    1.99e-01  1.54e-01    9.13e-04  7.28e-04    1.77e-01  1.36e-01    2.7e-07
  17000    1.90e-01  1.54e-01    9.16e-04  6.54e-04    1.77e-01  1.43e-01    1.6e-07
  18000    1.85e-01  1.55e-01    9.86e-04  7.63e-04    1.77e-01  1.48e-01    9.8e-08
  19000    1.31e-01  1.29e-01    2.68e-03  3.16e-03    1.27e-01  1.25e-01    5.9e-08
  20000    1.80e-01  1.04e-01    9.60e-04  6.41e-04    1.77e-01  1.02e-01    3.5e-08
