#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.739337e+00       6.312122e-01       1.095823e+00       1.897617e-02       7.822949e-03       1.510377e-02
          10       2.719931e+00       5.802204e-01       1.088968e+00       4.117824e-02       3.490306e-02       3.760420e-02
          20       2.706481e+00       5.453724e-01       1.084033e+00       5.332616e-02       3.467796e-02       4.312317e-02
          30       2.689913e+00       5.237352e-01       1.077315e+00       5.694601e-02       3.007524e-02       4.101249e-02
          40       2.676965e+00       5.154628e-01       1.072359e+00       5.412091e-02       8.047917e-03       2.712216e-02
          50       2.663883e+00       5.410450e-01       1.066983e+00       4.811920e-02       2.253009e-02       3.301416e-02
          60       2.668652e+00       6.304632e-01       1.068362e+00       4.388864e-02       3.271279e-02       4.011818e-02
          70       2.688914e+00       5.895667e-01       1.077009e+00       4.878819e-02       2.599522e-02       4.214365e-02
          80       2.707470e+00       5.667739e-01       1.084433e+00       5.616342e-02       3.217084e-02       4.234473e-02
          90       2.709180e+00       5.568547e-01       1.085293e+00       6.869756e-02       1.155071e-02       3.433662e-02
         100       2.671443e+00       5.710712e-01       1.070423e+00       7.514553e-02       3.540265e-02       4.914116e-02
         110       2.624948e+00       6.266250e-01       1.051196e+00       5.691771e-02       7.636111e-03       4.653235e-02
         120       2.600251e+00       5.359804e-01       1.042305e+00       7.203913e-02       5.185272e-02       6.085425e-02
         130       2.618314e+00       4.892463e-01       1.049891e+00       6.660285e-02       3.002712e-02       4.554858e-02
         140       2.653057e+00       4.811080e-01       1.063578e+00       8.079654e-02       1.336447e-02       3.885904e-02
         150       2.699086e+00       5.291528e-01       1.081878e+00       5.973657e-02       2.939535e-02       4.099227e-02
         160       2.747942e+00       6.178427e-01       1.100659e+00       5.886524e-02       2.659693e-02       4.943876e-02
         170       2.793905e+00       6.062475e-01       1.118752e+00       6.587550e-02       4.857646e-02       5.857203e-02
         180       2.817583e+00       6.208682e-01       1.128149e+00       4.761839e-02       3.329991e-02       3.913670e-02
         190       2.790044e+00       6.308571e-01       1.116643e+00       4.052593e-02       1.244157e-02       2.406019e-02
         200       2.734914e+00       6.129774e-01       1.094867e+00       3.807545e-02       2.395533e-02       3.352241e-02
         210       2.653810e+00       6.088287e-01       1.062675e+00       5.340086e-02       3.273116e-02       4.586958e-02
         220       2.594863e+00       5.940521e-01       1.038934e+00       4.092640e-02       2.122736e-02       3.562179e-02
         230       2.559827e+00       5.383121e-01       1.025390e+00       5.244669e-02       2.631191e-02       3.457037e-02
         240       2.559146e+00       5.213156e-01       1.024833e+00       4.582883e-02       2.215025e-02       3.073008e-02
         250       2.582165e+00       5.291008e-01       1.034160e+00       4.529659e-02       3.468632e-02       3.937935e-02
         260       2.624172e+00       5.600186e-01       1.051197e+00       5.341024e-02       4.333058e-02       4.721689e-02
         270       2.686391e+00       6.224749e-01       1.074905e+00       3.525907e-02       1.538994e-02       3.088733e-02
         280       2.751314e+00       6.634407e-01       1.100433e+00       2.614215e-02       1.825162e-02       2.155959e-02
         290       2.812066e+00       6.318917e-01       1.125011e+00       2.279011e-02       1.156932e-02       1.996041e-02
         300       2.841306e+00       6.017091e-01       1.137453e+00       5.770646e-02       2.392015e-02       4.150971e-02
         310       2.838262e+00       5.768969e-01       1.136962e+00       5.454156e-02       2.865862e-02       4.787060e-02
         320       2.796590e+00       5.684162e-01       1.119683e+00       4.284839e-02       3.392226e-02       3.834460e-02
         330       2.735002e+00       5.747748e-01       1.094432e+00       2.589740e-02       1.221089e-02       1.684547e-02
         340       2.660519e+00       5.909131e-01       1.064675e+00       3.133587e-02       1.380055e-02       2.605481e-02
         350       2.589168e+00       5.657299e-01       1.036758e+00       4.841358e-02       3.846974e-02       4.288014e-02
         360       2.542966e+00       5.163633e-01       1.019051e+00       5.587576e-02       4.825541e-02       5.243995e-02
         370       2.523093e+00       5.056067e-01       1.010457e+00       5.286534e-02       3.653629e-02       4.594277e-02
         380       2.552071e+00       5.365987e-01       1.021579e+00       3.732052e-02       2.183801e-02       2.694723e-02
         390       2.608137e+00       6.011321e-01       1.044512e+00       4.284032e-02       3.094676e-02       3.798307e-02
         400       2.703401e+00       5.834107e-01       1.083199e+00       6.312279e-02       1.953667e-02       5.270247e-02
         410       2.791576e+00       5.682459e-01       1.119675e+00       7.581624e-02       5.731133e-02       6.580537e-02
         420       2.841826e+00       5.998903e-01       1.138404e+00       4.724378e-02       3.087539e-02       3.758389e-02
         430       2.829089e+00       6.279264e-01       1.132097e+00       3.537619e-02       8.397987e-03       2.283690e-02
         440       2.774796e+00       6.853452e-01       1.110208e+00       4.149268e-02       2.287844e-02       3.576758e-02
