# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.09e+02  1.08e+02    7.90e+00  7.92e+00    3.46e+00  3.40e+00    1.0e-03
   1000    3.85e+00  3.84e+00    3.66e-02  3.63e-02    1.57e-01  1.57e-01    6.0e-04
   2000    3.11e+00  2.86e+00    1.80e-02  1.78e-02    1.64e-01  1.51e-01    3.6e-04
   3000    2.46e+00  2.12e+00    1.21e-02  1.22e-02    1.67e-01  1.45e-01    2.1e-04
   4000    1.91e+00  1.64e+00    1.22e-03  1.35e-03    1.68e-01  1.45e-01    1.3e-04
   5000    1.49e+00  1.31e+00    1.15e-02  1.08e-02    1.69e-01  1.49e-01    7.7e-05
   6000    1.16e+00  8.41e-01    8.90e-03  9.07e-03    1.70e-01  1.23e-01    4.6e-05
   7000    9.08e-01  8.00e-01    5.03e-03  4.57e-03    1.70e-01  1.50e-01    2.8e-05
   8000    7.12e-01  6.17e-01    3.74e-03  3.17e-03    1.70e-01  1.48e-01    1.7e-05
   9000    5.62e-01  4.44e-01    2.33e-03  2.11e-03    1.70e-01  1.35e-01    9.9e-06
  10000    4.48e-01  4.19e-01    1.44e-03  1.00e-03    1.70e-01  1.59e-01    5.9e-06
  11000    3.63e-01  2.87e-01    1.00e-03  8.09e-04    1.70e-01  1.35e-01    3.5e-06
  12000    3.01e-01  2.28e-01    8.54e-04  7.99e-04    1.70e-01  1.29e-01    2.1e-06
  13000    2.57e-01  1.82e-01    8.11e-04  1.26e-03    1.70e-01  1.21e-01    1.3e-06
  14000    2.26e-01  2.26e-01    8.05e-04  7.13e-04    1.70e-01  1.70e-01    7.6e-07
  15000    2.06e-01  1.82e-01    8.14e-04  3.38e-04    1.70e-01  1.50e-01    4.6e-07
  16000    1.92e-01  2.15e-01    8.06e-04  5.74e-03    1.70e-01  1.90e-01    2.7e-07
  17000    1.84e-01  1.52e-01    7.97e-04  6.16e-04    1.70e-01  1.40e-01    1.6e-07
  18000    1.79e-01  1.52e-01    7.89e-04  9.40e-04    1.70e-01  1.45e-01    9.8e-08
  19000    1.75e-01  1.33e-01    7.84e-04  8.73e-04    1.70e-01  1.29e-01    5.9e-08
  20000    1.73e-01  1.60e-01    7.84e-04  9.11e-04    1.70e-01  1.58e-01    3.5e-08
