#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.365846e+00       5.850574e-01       9.465649e-01       1.102804e-02       1.625516e-03       9.048152e-03
          10       2.354172e+00       5.836486e-01       9.417583e-01       2.029282e-02       6.615574e-03       1.659116e-02
          20       2.345455e+00       5.782855e-01       9.386011e-01       1.258409e-02       3.789387e-03       1.022585e-02
          30       2.339704e+00       5.764252e-01       9.365214e-01       1.883121e-02       6.736834e-03       1.588703e-02
          40       2.339353e+00       5.725057e-01       9.365282e-01       1.327328e-02       8.295112e-03       1.073768e-02
          50       2.342616e+00       5.749277e-01       9.376764e-01       2.176335e-02       1.189144e-02       1.839219e-02
          60       2.351509e+00       5.792803e-01       9.415704e-01       1.230860e-02       6.141046e-03       1.059897e-02
          70       2.362563e+00       5.757210e-01       9.461966e-01       1.690887e-02       1.169387e-02       1.514081e-02
          80       2.374119e+00       5.776101e-01       9.506997e-01       1.308368e-02       8.502657e-03       1.096547e-02
          90       2.381752e+00       5.854860e-01       9.534323e-01       1.668179e-02       9.477539e-03       1.405885e-02
         100       2.387023e+00       5.824905e-01       9.555356e-01       1.438794e-02       5.116157e-03       1.174138e-02
         110       2.384774e+00       5.793889e-01       9.546208e-01       7.485449e-03       5.134119e-03       6.576829e-03
         120       2.375542e+00       5.913967e-01       9.503630e-01       1.840837e-02       4.174405e-03       1.366329e-02
         130       2.362582e+00       5.809077e-01       9.455685e-01       9.507838e-03       5.918510e-03       7.512408e-03
         140       2.351340e+00       5.651070e-01       9.418092e-01       2.384542e-02       1.397951e-02       2.006976e-02
         150       2.343179e+00       5.651786e-01       9.387359e-01       9.306119e-03       4.748866e-03       6.801557e-03
         160       2.340705e+00       5.715980e-01       9.373155e-01       1.812240e-02       9.444404e-03       1.511688e-02
         170       2.345333e+00       5.704146e-01       9.392529e-01       7.788976e-03       4.168276e-03       6.326860e-03
         180       2.351729e+00       5.668424e-01       9.416675e-01       1.575516e-02       1.048194e-02       1.393404e-02
         190       2.361144e+00       5.754966e-01       9.451408e-01       7.061986e-03       4.476345e-03       5.421937e-03
         200       2.368848e+00       5.798695e-01       9.479778e-01       1.059884e-02       5.053985e-03       8.930747e-03
         210       2.377525e+00       5.873990e-01       9.513335e-01       6.366315e-03       1.971903e-03       5.030774e-03
         220       2.380736e+00       5.861352e-01       9.525335e-01       9.830860e-03       7.047170e-03       8.822923e-03
         230       2.382602e+00       5.929922e-01       9.532216e-01       6.272487e-03       2.548876e-03       5.200890e-03
         240       2.378145e+00       5.821782e-01       9.515122e-01       9.963212e-03       5.073961e-03       8.468737e-03
         250       2.372621e+00       5.780681e-01       9.495695e-01       6.684394e-03       3.582458e-03       5.386026e-03
         260       2.362772e+00       5.712424e-01       9.457818e-01       1.288594e-02       1.039444e-02       1.171366e-02
         270       2.353338e+00       5.821090e-01       9.419958e-01       1.022491e-02       4.784138e-03       6.878283e-03
         280       2.345036e+00       5.787080e-01       9.388332e-01       1.669496e-02       6.993576e-03       1.338919e-02
         290       2.340589e+00       5.641743e-01       9.375872e-01       1.174458e-02       6.280780e-03       9.595441e-03
         300       2.340236e+00       5.668631e-01       9.372710e-01       1.955059e-02       1.473038e-02       1.641641e-02
         310       2.345060e+00       5.727482e-01       9.390721e-01       1.394910e-02       9.006672e-03       1.213303e-02
         320       2.355888e+00       5.755942e-01       9.433656e-01       1.756585e-02       9.212166e-03       1.523675e-02
         330       2.365870e+00       5.806520e-01       9.471307e-01       1.256004e-02       9.053739e-03       1.050634e-02
         340       2.376031e+00       5.866519e-01       9.507783e-01       1.443695e-02       3.758099e-03       1.178432e-02
         350       2.382674e+00       5.778843e-01       9.535160e-01       1.408605e-02       7.395368e-03       1.189367e-02
         360       2.384163e+00       5.824806e-01       9.540291e-01       1.186665e-02       3.409197e-03       9.032191e-03
         370       2.379136e+00       5.834872e-01       9.521676e-01       1.466012e-02       8.576370e-03       1.230832e-02
         380       2.372586e+00       5.777148e-01       9.499304e-01       7.583216e-03       4.929588e-03       6.632538e-03
         390       2.362734e+00       5.803516e-01       9.456807e-01       1.758321e-02       8.009574e-03       1.514775e-02
         400       2.354750e+00       5.818760e-01       9.425824e-01       9.072766e-03       4.450556e-03       6.404672e-03
         410       2.349576e+00       5.722971e-01       9.407099e-01       1.622333e-02       6.997828e-03       1.408412e-02
         420       2.348035e+00       5.694889e-01       9.401412e-01       7.378201e-03       4.058121e-03       5.657823e-03
         430       2.349242e+00       5.763926e-01       9.401788e-01       1.645893e-02       5.792607e-03       1.395994e-02
         440       2.353789e+00       5.800903e-01       9.420451e-01       6.678293e-03       2.200388e-03       4.848689e-03
         450       2.359993e+00       5.755325e-01       9.445007e-01       1.638522e-02       6.290705e-03       1.405948e-02
         460       2.367045e+00       5.775338e-01       9.473104e-01       6.956569e-03       4.515447e-03       5.631918e-03
         470       2.373802e+00       5.866618e-01       9.496758e-01       1.727767e-02       2.266196e-03       1.401412e-02
         480       2.379207e+00       5.900958e-01       9.518811e-01       6.633216e-03       1.978151e-03       5.567708e-03
         490       2.381006e+00       5.866611e-01       9.524805e-01       1.711199e-02       3.292590e-03       1.408601e-02
         500       2.379785e+00       5.898511e-01       9.521241e-01       6.692188e-03       9.053640e-04       5.332920e-03
         510       2.374718e+00       5.882724e-01       9.499882e-01       1.829492e-02       3.406693e-03       1.458147e-02
         520       2.367454e+00       5.813114e-01       9.473524e-01       7.402483e-03       2.900664e-03       6.234047e-03
         530       2.357929e+00       5.715151e-01       9.437631e-01       1.653797e-02       8.977079e-03       1.450575e-02
         540       2.349969e+00       5.749450e-01       9.407706e-01       8.366333e-03       5.245718e-03       6.695870e-03
         550       2.343804e+00       5.768162e-01       9.382338e-01       1.801428e-02       6.282368e-03       1.422694e-02
         560       2.343454e+00       5.648048e-01       9.386559e-01       1.056049e-02       8.646050e-03       9.279957e-03
         570       2.346923e+00       5.623230e-01       9.402835e-01       1.441114e-02       1.072700e-02       1.276306e-02
         580       2.354705e+00       5.780001e-01       9.427915e-01       1.455354e-02       6.592502e-03       1.124623e-02
         590       2.365779e+00       5.821418e-01       9.468876e-01       1.491944e-02       4.473029e-03       1.219849e-02
         600       2.375862e+00       5.769239e-01       9.510790e-01       1.551509e-02       9.572977e-03       1.378051e-02
         610       2.382253e+00       5.854227e-01       9.535110e-01       1.378048e-02       6.991225e-03       1.181303e-02
         620       2.384297e+00       5.883878e-01       9.539932e-01       1.867740e-02       5.175334e-03       1.480133e-02
         630       2.382889e+00       5.875099e-01       9.535075e-01       1.491255e-02       4.426795e-03       1.173965e-02
         640       2.374544e+00       5.777324e-01       9.502928e-01       1.768081e-02       3.996435e-03       1.443493e-02
         650       2.364241e+00       5.817027e-01       9.463310e-01       1.339391e-02       5.800984e-03       1.148521e-02
         660       2.352910e+00       5.781447e-01       9.417826e-01       1.726941e-02       1.240897e-02       1.496905e-02
         670       2.345833e+00       5.766834e-01       9.390643e-01       1.426389e-02       7.702619e-03       1.188292e-02
         680       2.340771e+00       5.702352e-01       9.373423e-01       1.542531e-02       7.907377e-03       1.129769e-02
         690       2.342240e+00       5.756866e-01       9.377597e-01       1.331991e-02       6.860679e-03       1.039587e-02
         700       2.346805e+00       5.751843e-01       9.393570e-01       1.166065e-02       5.426968e-03       8.070677e-03
         710       2.356187e+00       5.776094e-01       9.430905e-01       1.190675e-02       5.485448e-03       1.004849e-02
         720       2.363857e+00       5.821970e-01       9.462125e-01       7.186365e-03       2.233499e-03       5.429071e-03
         730       2.371703e+00       5.850518e-01       9.491031e-01       1.069313e-02       3.274807e-03       8.761932e-03
         740       2.377035e+00       5.851980e-01       9.511579e-01       8.599918e-03       3.337086e-03       6.252245e-03
         750       2.380347e+00       5.853703e-01       9.524174e-01       1.171763e-02       2.334155e-03       9.366767e-03
