# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    8.67e+01  8.60e+01    6.30e+00  6.31e+00    2.74e+00  2.72e+00    1.0e-03
   1000    4.43e+00  3.26e+00    3.88e-02  3.89e-02    1.81e-01  1.33e-01    6.0e-04
   2000    3.35e+00  2.03e+00    5.86e-03  5.86e-03    1.77e-01  1.07e-01    3.6e-04
   3000    2.64e+00  2.01e+00    2.12e-02  2.10e-02    1.80e-01  1.37e-01    2.1e-04
   4000    1.14e+00  1.06e+00    2.31e-02  2.30e-02    1.00e-01  9.33e-02    1.3e-04
   5000    1.58e+00  9.87e-01    1.47e-02  1.46e-02    1.79e-01  1.12e-01    7.7e-05
   6000    1.23e+00  1.01e+00    3.86e-03  3.94e-03    1.79e-01  1.48e-01    4.6e-05
   7000    7.03e-01  6.92e-01    8.42e-03  8.39e-03    1.32e-01  1.29e-01    2.8e-05
   8000    7.41e-01  4.62e-01    2.74e-03  2.72e-03    1.77e-01  1.10e-01    1.7e-05
   9000    4.24e-01  4.18e-01    3.00e-03  3.37e-03    1.29e-01  1.27e-01    9.9e-06
  10000    2.01e-01  2.28e-01    2.58e-03  3.05e-03    7.64e-02  8.66e-02    5.9e-06
  11000    2.71e-01  2.74e-01    3.78e-03  4.39e-03    1.27e-01  1.28e-01    3.5e-06
  12000    3.14e-01  2.06e-01    1.69e-03  1.47e-03    1.78e-01  1.17e-01    2.1e-06
  13000    2.69e-01  2.33e-01    9.63e-04  5.53e-04    1.78e-01  1.55e-01    1.3e-06
  14000    2.36e-01  2.05e-01    9.15e-04  5.69e-04    1.78e-01  1.55e-01    7.6e-07
  15000    2.15e-01  1.64e-01    9.61e-04  4.78e-04    1.78e-01  1.36e-01    4.6e-07
  16000    2.01e-01  1.45e-01    9.15e-04  8.29e-04    1.78e-01  1.28e-01    2.7e-07
  17000    1.92e-01  1.89e-01    1.01e-03  5.67e-03    1.78e-01  1.75e-01    1.6e-07
  18000    5.29e-02  6.59e-02    2.62e-03  2.35e-03    4.99e-02  6.25e-02    9.8e-08
  19000    1.83e-01  1.42e-01    9.26e-04  7.48e-04    1.78e-01  1.38e-01    5.9e-08
  20000    8.45e-02  7.64e-02    2.94e-03  1.39e-03    8.25e-02  7.49e-02    3.5e-08
