# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.26e+01  7.11e+01    5.85e+00  5.86e+00    2.30e+00  2.25e+00    1.0e-03
   1000    4.37e+00  3.00e+00    4.21e-02  4.16e-02    1.78e-01  1.22e-01    6.0e-04
   2000    3.51e+00  2.44e+00    2.47e-02  2.45e-02    1.85e-01  1.29e-01    3.6e-04
   3000    2.63e+00  1.50e+00    3.30e-03  3.28e-03    1.79e-01  1.02e-01    2.1e-04
   4000    7.92e-01  8.82e-01    1.37e-02  1.32e-02    6.95e-02  7.75e-02    1.3e-04
   5000    1.57e+00  9.11e-01    1.23e-03  8.60e-04    1.78e-01  1.03e-01    7.7e-05
   6000    1.24e+00  7.48e-01    4.92e-03  4.33e-03    1.81e-01  1.09e-01    4.6e-05
   7000    9.51e-01  7.11e-01    6.78e-03  6.93e-03    1.78e-01  1.33e-01    2.8e-05
   8000    7.45e-01  5.81e-01    5.69e-03  6.15e-03    1.78e-01  1.39e-01    1.7e-05
   9000    5.84e-01  5.72e-01    2.12e-03  1.79e-03    1.77e-01  1.74e-01    9.9e-06
  10000    4.68e-01  3.44e-01    1.32e-03  1.12e-03    1.78e-01  1.31e-01    5.9e-06
  11000    3.79e-01  2.48e-01    1.34e-03  8.23e-04    1.78e-01  1.16e-01    3.5e-06
  12000    3.15e-01  2.02e-01    1.81e-03  2.05e-03    1.78e-01  1.14e-01    2.1e-06
  13000    2.68e-01  1.76e-01    1.14e-03  9.53e-04    1.78e-01  1.17e-01    1.3e-06
  14000    2.36e-01  1.73e-01    1.05e-03  9.11e-04    1.78e-01  1.30e-01    7.6e-07
  15000    8.00e-02  6.79e-02    2.41e-03  2.07e-03    6.60e-02  5.60e-02    4.6e-07
  16000    7.44e-02  7.28e-02    2.39e-03  2.13e-03    6.57e-02  6.42e-02    2.7e-07
  17000    1.93e-01  1.26e-01    1.40e-03  8.60e-04    1.78e-01  1.17e-01    1.6e-07
  18000    1.87e-01  1.45e-01    1.01e-03  5.60e-04    1.78e-01  1.39e-01    9.8e-08
  19000    1.84e-01  1.34e-01    1.12e-03  1.03e-03    1.78e-01  1.30e-01    5.9e-08
  20000    1.82e-01  1.46e-01    1.04e-03  6.19e-04    1.78e-01  1.44e-01    3.5e-08
