# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.52e+02  1.50e+02    6.37e+00  6.39e+00    4.81e+00  4.74e+00    1.0e-03
   1000    4.43e+00  3.79e+00    6.82e-02  6.72e-02    1.81e-01  1.55e-01    6.0e-04
   2000    3.35e+00  2.39e+00    2.31e-02  2.30e-02    1.77e-01  1.26e-01    3.6e-04
   3000    2.68e+00  2.15e+00    3.30e-02  3.37e-02    1.83e-01  1.46e-01    2.1e-04
   4000    2.05e+00  1.98e+00    6.87e-03  6.41e-03    1.80e-01  1.74e-01    1.3e-04
   5000    1.59e+00  1.18e+00    1.26e-02  1.30e-02    1.80e-01  1.33e-01    7.7e-05
   6000    1.21e+00  8.38e-01    3.14e-03  3.02e-03    1.77e-01  1.22e-01    4.6e-05
   7000    9.73e-01  7.71e-01    4.10e-03  3.90e-03    1.82e-01  1.44e-01    2.8e-05
   8000    7.47e-01  5.57e-01    2.77e-03  2.65e-03    1.79e-01  1.33e-01    1.7e-05
   9000    5.94e-01  5.63e-01    1.99e-03  1.77e-03    1.80e-01  1.71e-01    9.9e-06
  10000    4.74e-01  2.64e-01    3.92e-03  3.93e-03    1.80e-01  1.00e-01    5.9e-06
  11000    3.81e-01  2.30e-01    8.59e-04  7.52e-04    1.79e-01  1.08e-01    3.5e-06
  12000    3.16e-01  2.15e-01    1.13e-03  1.06e-03    1.79e-01  1.22e-01    2.1e-06
  13000    1.00e-01  1.48e-01    3.03e-03  3.25e-03    6.63e-02  9.83e-02    1.3e-06
  14000    1.74e-01  1.64e-01    4.20e-03  3.19e-03    1.31e-01  1.24e-01    7.6e-07
  15000    2.16e-01  1.81e-01    1.01e-03  1.19e-03    1.79e-01  1.50e-01    4.6e-07
  16000    7.62e-02  1.12e-01    3.27e-03  3.37e-03    6.70e-02  9.88e-02    2.7e-07
  17000    1.93e-01  1.27e-01    8.61e-04  1.07e-03    1.79e-01  1.18e-01    1.6e-07
  18000    1.88e-01  1.37e-01    8.64e-04  8.10e-04    1.79e-01  1.31e-01    9.8e-08
  19000    6.94e-02  1.02e-01    2.88e-03  3.18e-03    6.69e-02  9.86e-02    5.9e-08
  20000    1.82e-01  1.56e-01    8.64e-04  7.12e-04    1.79e-01  1.53e-01    3.5e-08
