#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.178162e+00       2.791885e-01       4.717575e-01       1.244769e-02       3.810383e-03       9.857704e-03
          10       1.184854e+00       2.743694e-01       4.741812e-01       3.896603e-02       9.211912e-03       3.102497e-02
          20       1.193662e+00       2.778013e-01       4.774538e-01       5.221228e-02       1.059898e-02       4.196841e-02
          30       1.199617e+00       2.795101e-01       4.800938e-01       4.560437e-02       1.959333e-02       3.736943e-02
          40       1.206028e+00       2.744984e-01       4.829685e-01       2.198519e-02       1.001078e-02       1.798325e-02
          50       1.207859e+00       2.710856e-01       4.837918e-01       2.429138e-02       1.532710e-02       2.002229e-02
          60       1.208784e+00       2.836831e-01       4.837749e-01       4.743834e-02       1.992072e-02       3.695078e-02
          70       1.206456e+00       2.830733e-01       4.823785e-01       5.768347e-02       1.630566e-02       4.755405e-02
          80       1.200218e+00       2.926166e-01       4.800308e-01       4.824145e-02       1.065631e-02       3.854677e-02
          90       1.190823e+00       2.832017e-01       4.766538e-01       3.235261e-02       7.956428e-03       2.500980e-02
         100       1.178198e+00       2.664005e-01       4.719354e-01       3.585874e-02       1.216983e-02       2.697673e-02
         110       1.169451e+00       2.705757e-01       4.683872e-01       5.907729e-02       1.611628e-02       4.674705e-02
         120       1.163230e+00       2.617416e-01       4.655318e-01       7.466593e-02       3.341054e-02       6.138781e-02
         130       1.165437e+00       2.697682e-01       4.664484e-01       5.914962e-02       1.855852e-02       4.898285e-02
         140       1.168113e+00       2.757648e-01       4.677487e-01       3.104806e-02       1.781682e-02       2.632866e-02
         150       1.177329e+00       2.694934e-01       4.714650e-01       2.614110e-02       6.002212e-03       2.147405e-02
         160       1.185450e+00       2.658789e-01       4.744064e-01       5.507041e-02       1.357661e-02       4.071651e-02
         170       1.195378e+00       2.863721e-01       4.779782e-01       5.765131e-02       1.043051e-02       4.506746e-02
         180       1.201036e+00       2.837549e-01       4.806048e-01       4.448977e-02       1.117306e-02       3.408420e-02
         190       1.204548e+00       2.840338e-01       4.822798e-01       2.216733e-02       1.430488e-02       1.727250e-02
         200       1.205181e+00       2.803296e-01       4.826301e-01       2.273877e-02       1.520975e-02       1.845265e-02
         210       1.203608e+00       2.691803e-01       4.818110e-01       4.573744e-02       1.210177e-02       3.437718e-02
         220       1.201461e+00       2.767875e-01       4.806135e-01       5.079552e-02       1.225217e-02       4.063610e-02
         230       1.195874e+00       2.866837e-01       4.784968e-01       3.824918e-02       1.511177e-02       3.101484e-02
         240       1.189024e+00       2.798617e-01       4.760060e-01       1.961619e-02       5.520827e-03       1.512148e-02
         250       1.179827e+00       2.741188e-01       4.724622e-01       2.810430e-02       9.810877e-03       2.263319e-02
         260       1.175864e+00       2.740822e-01       4.705913e-01       4.240552e-02       6.657255e-03       3.468453e-02
         270       1.171916e+00       2.714201e-01       4.688682e-01       5.386517e-02       1.566240e-02       4.299037e-02
         280       1.171664e+00       2.698710e-01       4.690669e-01       3.990190e-02       1.227193e-02       3.286830e-02
         290       1.173270e+00       2.706324e-01       4.699134e-01       2.306283e-02       6.036814e-03       1.705982e-02
         300       1.179184e+00       2.744482e-01       4.720410e-01       4.419520e-02       7.538312e-03       3.232633e-02
         310       1.187960e+00       2.741671e-01       4.751876e-01       6.059589e-02       8.840767e-03       4.748565e-02
         320       1.198083e+00       2.876751e-01       4.791343e-01       5.821134e-02       2.021150e-02       4.699058e-02
         330       1.205262e+00       2.799678e-01       4.826281e-01       3.279249e-02       1.367629e-02       2.690266e-02
         340       1.205404e+00       2.673746e-01       4.831856e-01       2.803360e-02       1.563880e-02       2.249292e-02
         350       1.207430e+00       2.735091e-01       4.836867e-01       3.518798e-02       1.425190e-02       2.835654e-02
         360       1.203814e+00       2.735199e-01       4.816520e-01       5.804426e-02       2.561964e-02       4.613085e-02
         370       1.199508e+00       2.863999e-01       4.793619e-01       6.123952e-02       1.053150e-02       5.028673e-02
         380       1.189690e+00       2.928321e-01       4.759513e-01       3.615925e-02       1.515917e-02       3.000216e-02
         390       1.181129e+00       2.845253e-01       4.728745e-01       8.692867e-03       4.486026e-03       7.462756e-03
         400       1.173195e+00       2.777169e-01       4.698164e-01       4.102905e-02       8.846619e-03       3.075367e-02
         410       1.171377e+00       2.665119e-01       4.690464e-01       4.688751e-02       1.043510e-02       3.892077e-02
         420       1.172873e+00       2.702839e-01       4.695464e-01       4.524420e-02       8.236959e-03       3.532995e-02
         430       1.175940e+00       2.820968e-01       4.708217e-01       2.462950e-02       6.434181e-03       2.040986e-02
         440       1.180995e+00       2.826205e-01       4.728716e-01       1.380716e-02       4.252998e-03       1.055659e-02
         450       1.186234e+00       2.828117e-01       4.747428e-01       3.533969e-02       6.428899e-03       2.630026e-02
         460       1.193422e+00       2.902409e-01       4.773507e-01       4.382233e-02       5.242068e-03       3.440569e-02
         470       1.198293e+00       2.920689e-01       4.793677e-01       4.020159e-02       1.558702e-02       3.216222e-02
         480       1.202725e+00       2.920306e-01       4.814095e-01       1.712929e-02       8.759377e-03       1.361406e-02
         490       1.203263e+00       2.796241e-01       4.817824e-01       1.629396e-02       8.975422e-03       1.249750e-02
         500       1.202995e+00       2.766962e-01       4.815479e-01       3.501849e-02       1.089249e-02       2.940602e-02
         510       1.200175e+00       2.786957e-01       4.803162e-01       4.499033e-02       2.026047e-02       3.803803e-02
         520       1.196341e+00       2.782737e-01       4.787835e-01       3.827704e-02       1.005999e-02       3.171162e-02
         530       1.189534e+00       2.735090e-01       4.763768e-01       1.607183e-02       3.837700e-03       1.165647e-02
         540       1.181406e+00       2.745525e-01       4.731894e-01       1.715931e-02       5.652342e-03       1.440029e-02
         550       1.176772e+00       2.780398e-01       4.708010e-01       4.499322e-02       5.127192e-03       3.503729e-02
         560       1.172532e+00       2.802229e-01       4.689028e-01       5.105889e-02       5.710466e-03       4.077798e-02
         570       1.171780e+00       2.806158e-01       4.688503e-01       4.148078e-02       9.250459e-03       3.390241e-02
         580       1.171334e+00       2.732579e-01       4.691234e-01       1.254747e-02       8.070392e-03       1.036747e-02
         590       1.174940e+00       2.690129e-01       4.708267e-01       2.922134e-02       5.646012e-03       2.157231e-02
         600       1.180379e+00       2.633632e-01       4.726926e-01       5.429790e-02       1.140838e-02       4.293607e-02
         610       1.191814e+00       2.805151e-01       4.768448e-01       5.037283e-02       1.075264e-02       4.144171e-02
         620       1.199649e+00       2.904941e-01       4.800210e-01       3.857619e-02       1.414571e-02       3.224768e-02
         630       1.204396e+00       2.852600e-01       4.822420e-01       1.862684e-02       1.080404e-02       1.369767e-02
         640       1.208010e+00       2.790015e-01       4.835397e-01       2.929553e-02       1.325944e-02       2.397270e-02
         650       1.207712e+00       2.848900e-01       4.830251e-01       5.672556e-02       3.077260e-02       4.707433e-02
         660       1.205769e+00       2.807094e-01       4.824235e-01       5.795493e-02       1.784904e-02       4.459798e-02
         670       1.199606e+00       2.809246e-01       4.802346e-01       3.950612e-02       1.004501e-02       3.127742e-02
         680       1.190953e+00       2.734343e-01       4.773616e-01       1.098838e-02       5.971662e-03       8.988195e-03
         690       1.180839e+00       2.561853e-01       4.735671e-01       3.541248e-02       1.445046e-02       2.548413e-02
