#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.312845e+00       3.105260e-01       5.256205e-01       1.199260e-02       3.683116e-03       9.634079e-03
          10       1.318113e+00       3.089904e-01       5.289804e-01       3.714428e-02       2.182173e-02       2.635975e-02
          20       1.321179e+00       3.120358e-01       5.293412e-01       3.607268e-02       2.676084e-02       3.159843e-02
          30       1.313878e+00       3.150741e-01       5.260039e-01       2.696326e-02       1.742229e-02       2.289180e-02
          40       1.296979e+00       3.118509e-01       5.210083e-01       3.720180e-02       9.326046e-03       1.862736e-02
          50       1.284430e+00       3.104321e-01       5.143878e-01       2.159522e-02       4.897856e-03       1.774946e-02
          60       1.265223e+00       3.062965e-01       5.069925e-01       5.207055e-02       3.696037e-02       4.336383e-02
          70       1.255268e+00       3.028585e-01       5.043841e-01       4.077680e-02       2.222122e-02       2.984758e-02
          80       1.247817e+00       2.992368e-01       5.007780e-01       2.824327e-02       1.006161e-02       1.611201e-02
          90       1.245076e+00       2.986902e-01       5.008196e-01       5.840103e-02       3.683249e-02       4.535380e-02
         100       1.256695e+00       2.995637e-01       5.053764e-01       4.340708e-02       2.230993e-02       3.649905e-02
         110       1.266290e+00       3.036688e-01       5.075812e-01       7.305695e-02       2.978901e-02       4.362690e-02
         120       1.290884e+00       3.100974e-01       5.180269e-01       1.728858e-02       1.519943e-02       1.631315e-02
         130       1.310278e+00       3.100459e-01       5.277216e-01       6.100759e-02       3.438222e-02       4.561155e-02
         140       1.325245e+00       3.186029e-01       5.315090e-01       6.717569e-02       3.954939e-02       5.112582e-02
         150       1.333088e+00       3.179391e-01       5.340787e-01       1.550834e-02       8.951734e-03       1.306044e-02
         160       1.316787e+00       3.145875e-01       5.290428e-01       4.756561e-02       1.901379e-02       2.966112e-02
         170       1.302361e+00       3.064617e-01       5.231095e-01       4.055912e-02       2.377337e-02       3.597090e-02
         180       1.280412e+00       3.039103e-01       5.155540e-01       5.836634e-02       2.862683e-02       4.240098e-02
         190       1.264403e+00       3.047298e-01       5.058716e-01       2.488060e-02       1.314007e-02       1.725658e-02
         200       1.255721e+00       3.050378e-01       5.025972e-01       2.228536e-02       9.776148e-03       1.803717e-02
         210       1.247045e+00       3.056379e-01       5.026085e-01       8.624099e-02       3.167525e-02       5.442714e-02
         220       1.252732e+00       3.049547e-01       5.022060e-01       3.807554e-02       1.681939e-02       3.137983e-02
         230       1.258086e+00       3.047451e-01       5.043607e-01       2.376493e-02       9.918069e-03       1.689396e-02
         240       1.271843e+00       3.056769e-01       5.101169e-01       3.769870e-02       1.906265e-02       2.828616e-02
         250       1.289774e+00       3.083550e-01       5.175456e-01       4.279861e-02       2.486893e-02       3.642673e-02
         260       1.303409e+00       3.079224e-01       5.244786e-01       5.982565e-02       2.400089e-02       3.954061e-02
         270       1.321862e+00       3.131933e-01       5.290498e-01       8.452331e-03       4.419150e-03       7.154625e-03
         280       1.323518e+00       3.214868e-01       5.298242e-01       2.765575e-02       2.340556e-02       2.600167e-02
         290       1.318797e+00       3.167344e-01       5.295491e-01       4.980591e-02       2.884088e-02       3.863763e-02
         300       1.307001e+00       3.136180e-01       5.239270e-01       2.593753e-02       2.005846e-02       2.311561e-02
