#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.637727e+00       5.751357e-01       1.055945e+00       2.680254e-02       1.448156e-02       1.970467e-02
          10       2.644068e+00       5.661994e-01       1.059301e+00       5.036498e-02       2.202295e-02       3.216675e-02
          20       2.659410e+00       5.758138e-01       1.065068e+00       4.125625e-02       2.435733e-02       3.215415e-02
          30       2.668419e+00       5.935180e-01       1.068049e+00       3.782334e-02       3.298665e-02       3.497703e-02
          40       2.684288e+00       6.020867e-01       1.074116e+00       3.142680e-02       1.408858e-02       2.641898e-02
          50       2.703342e+00       6.207488e-01       1.081738e+00       2.057190e-02       1.562159e-02       1.896439e-02
          60       2.725653e+00       5.493475e-01       1.091285e+00       3.824176e-02       2.198189e-02       3.017158e-02
          70       2.743000e+00       5.039971e-01       1.099676e+00       7.260892e-02       3.915429e-02       5.232491e-02
          80       2.752140e+00       5.017422e-01       1.103348e+00       7.322207e-02       3.211559e-02       5.235806e-02
          90       2.751350e+00       5.408770e-01       1.101610e+00       4.095766e-02       2.188553e-02       2.947382e-02
         100       2.733140e+00       6.132909e-01       1.093758e+00       3.588067e-02       1.625827e-02       2.357541e-02
         110       2.727061e+00       5.853652e-01       1.091226e+00       2.570617e-02       1.559291e-02       2.139390e-02
         120       2.706156e+00       5.262710e-01       1.084239e+00       5.573404e-02       4.042712e-02       5.084373e-02
         130       2.679440e+00       4.890925e-01       1.075728e+00       1.060981e-01       5.122806e-02       7.171226e-02
         140       2.638776e+00       5.149787e-01       1.057791e+00       7.321541e-02       2.977240e-02       4.540777e-02
         150       2.611040e+00       6.129180e-01       1.044687e+00       1.958357e-02       1.099761e-02       1.693688e-02
         160       2.608217e+00       6.031910e-01       1.044162e+00       3.387837e-02       2.781105e-02       3.159466e-02
         170       2.628418e+00       5.681386e-01       1.052937e+00       5.565574e-02       3.636264e-02       4.213841e-02
         180       2.646929e+00       5.310416e-01       1.061133e+00       5.698660e-02       3.723034e-02       4.810727e-02
         190       2.656644e+00       5.373578e-01       1.064338e+00       5.011466e-02       2.583226e-02       3.662406e-02
