# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.30e+01  7.07e+01    7.39e+00  7.40e+00    2.31e+00  2.24e+00    1.0e-03
   1000    4.30e+00  3.66e+00    4.98e-02  4.99e-02    1.76e-01  1.50e-01    6.0e-04
   2000    3.31e+00  2.81e+00    7.69e-02  7.70e-02    1.75e-01  1.48e-01    3.6e-04
   3000    2.53e+00  2.08e+00    5.10e-02  5.10e-02    1.72e-01  1.41e-01    2.1e-04
   4000    1.95e+00  1.64e+00    3.71e-02  3.71e-02    1.71e-01  1.44e-01    1.3e-04
   5000    1.51e+00  1.26e+00    2.61e-02  2.56e-02    1.71e-01  1.43e-01    7.7e-05
   6000    1.17e+00  7.96e-01    1.73e-02  1.76e-02    1.71e-01  1.16e-01    4.6e-05
   7000    9.16e-01  7.55e-01    1.02e-02  1.00e-02    1.71e-01  1.41e-01    2.8e-05
   8000    7.18e-01  5.72e-01    5.86e-03  5.44e-03    1.72e-01  1.37e-01    1.7e-05
   9000    5.66e-01  4.08e-01    3.39e-03  3.29e-03    1.72e-01  1.24e-01    9.9e-06
  10000    4.51e-01  4.17e-01    2.13e-03  1.78e-03    1.72e-01  1.59e-01    5.9e-06
  11000    3.66e-01  2.74e-01    1.44e-03  1.38e-03    1.72e-01  1.28e-01    3.5e-06
  12000    3.03e-01  2.19e-01    1.09e-03  9.66e-04    1.72e-01  1.24e-01    2.1e-06
  13000    2.59e-01  1.73e-01    9.27e-04  1.30e-03    1.72e-01  1.15e-01    1.3e-06
  14000    2.28e-01  2.27e-01    8.52e-04  7.69e-04    1.72e-01  1.71e-01    7.6e-07
  15000    2.07e-01  1.83e-01    8.15e-04  3.58e-04    1.72e-01  1.51e-01    4.6e-07
  16000    1.94e-01  2.09e-01    7.90e-04  5.69e-03    1.72e-01  1.84e-01    2.7e-07
  17000    1.85e-01  1.48e-01    7.80e-04  6.32e-04    1.72e-01  1.37e-01    1.6e-07
  18000    1.80e-01  1.48e-01    7.76e-04  8.74e-04    1.72e-01  1.41e-01    9.8e-08
  19000    1.77e-01  1.27e-01    7.75e-04  9.00e-04    1.72e-01  1.24e-01    5.9e-08
  20000    1.75e-01  1.56e-01    7.75e-04  9.11e-04    1.72e-01  1.53e-01    3.5e-08
